year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,3073711.0,4699314,590.01,170944
2007,2,2398624.0,4020667,553.48,170944
2007,3,2481109.0,4646888,804.32,170944
2007,4,2119610.0,4399369,1021.49,170944
2007,5,2374355.0,4729925,1402.44,170944
2007,6,2468188.0,4506292,1590.63,170944
2007,7,2894103.0,4589655,1691.53,170944
2007,8,2866101.0,4707602,1615.21,170944
2007,9,2867211.0,4426960,1332.31,170944
2007,10,2410797.0,4923333,1014.54,170944
2007,11,2170261.0,4378303,798.38,170944
2007,12,2624812.657,4505666,643.72,170944
2008,1,3147230.417,4979071,579.65,170017
2008,2,2540428.845,4301262,552.76,170017
2008,3,2398198.815,4565278,814.2,170017
2008,4,2242818.159,4543902,1086.88,170017
2008,5,2270210.338,4541171,1378.47,170017
2008,6,2476881.173,4588016,1516.85,170017
2008,7,3092785.744,4791384,1598.31,170017
2008,8,2888408.639,4628140,1569.64,170017
2008,9,2944203.741,4546611,1398.29,170017
2008,10,2551220.137,5021677,1112.97,170017
2008,11,1938382.637,3974401,782.76,170017
2008,12,2924582.938,4981622,609.25,170017
2009,1,2808056.419,4366172,591.56,170153
2009,2,2378589.939,4123836,512.35,170153
2009,3,2474521.284,4578435,663.48,170153
2009,4,2361342.645,4737324,970.3,170153
2009,5,2174314.025,4409957,1197.58,170153
2009,6,2537772.061,4758519,1329.42,170153
2009,7,2989250.573,4798330,1522.33,170153
2009,8,2909399.636,4594887,1487.36,170153
2009,9,2888709.165,4582437,1345.44,170153
2009,10,2569451.481,4786120,980.24,170153
2009,11,2077063.56,4149524,783.74,170153
2009,12,3033701.341,5004807,556.5,170153
2010,1,2711217.708,4211948,440.9,178387
2010,2,2424032.0,4114819,438.37,178387
2010,3,2613164.705,4688327,679.27,178387
2010,4,2393288.857,4791594,727.25,178387
2010,5,2088754.821,4473974,1092.09,178387
2010,6,2411044.167,4469510,1414.15,178387
2010,7,2799658.703,4574274,1585.43,178387
2010,8,2886081.424,4602402,1501.43,178387
2010,9,2734920.514,4585220,1346.67,178387
2010,10,2506367.431,4714999,1078.09,178387
2010,11,2163608.802,4244989,640.38,178387
2010,12,3001322.806,4997457,552.09,178387
2011,1,2682343.835,4170039,505.69,172941
2011,2,2353936.1,4111861,513.08,172941
2011,3,2805467.876,5051066,534.47,172941
2011,4,2216282.061,4367036,851.26,172941
2011,5,2179618.604,4601001,1179.9,172941
2011,6,2423049.704,4827050,1237.83,172941
2011,7,2803534.596,4562354,1510.09,172941
2011,8,2927955.344,4888409,1508.79,172941
2011,9,2877529.251,4627319,1385.93,172941
2011,10,2446371.643,4600762,1013.52,172941
2011,11,2226957.045,4403172,741.24,172941
2011,12,2785732.452,4809702,660.07,172941
2012,1,3021676.753,4604042,692.35,172347
2012,2,2449650.378,4400637,670.53,172347
2012,3,2539143.691,4836372,686.68,172347
2012,4,2201979.017,4410308,754.9,172347
2012,5,2376014.766,4847942,1289.88,172347
2012,6,2476684.578,4642854,1401.98,172347
2012,7,2766092.29,4640159,1583.49,172347
2012,8,3204687.0,5013857,1504.94,172347
2012,9,2657022.623,4333438,1349.97,172347
2012,10,2549865.034,4806508,1073.98,172347
2012,11,2145382.071,4353504,616.53,172347
2012,12,2498049.12,4342592,463.12,172347
2013,1,3085136.948,4789187,464.01,171816
2013,2,2385180.0,4136032,541.56,171816
2013,3,2426034.0,4778173,830.41,171816
2013,4,2023535.0,4389564,979.35,171816
2013,5,2320647.0,4799070,1299.46,171816
2013,6,2438492.0,4565490,1397.07,171816
2013,7,3109366.0,4614973,1517.16,171816
2013,8,2896060.0,4791171,1321.81,171816
2013,9,2673917.0,4338967,1215.16,171816
2013,10,2381701.0,5002495,1053.6,171816
2013,11,1944421.0,4115489,744.44,171816
2013,12,2790884.0,4786945,539.58,171816
2014,1,2685650.0,4563299,564.12,171183
2014,2,2194165.0,4116480,448.04,171183
2014,3,2174585.0,4572234,585.17,171183
2014,4,2059569.0,4576895,737.56,171183
2014,5,2110699.0,4578533,1052.07,171183
2014,6,2461787.0,4585859,1247.75,171183
2014,7,3004287.0,4806554,1298.37,171183
2014,8,2992717.0,4528859,1208.42,171183
2014,9,2718382.0,4439844,1106.58,171183
2014,10,2524598.0,5029192,984.68,171183
2014,11,1878777.0,4110381,600.97,171183
2014,12,2483866.0,4817220,467.25,171183
2015,1,2525774.0,4449564,427.4,170417
2015,2,2022918.0,4030701,418.77,170417
2015,3,2095427.0,4670578,617.83,170417
2015,4,1854392.0,4446028,715.32,170417
2015,5,1850166.0,4446971,818.97,170417
2015,6,2281356.0,4472649,875.25,170417
2015,7,2904697.0,4839590,975.45,170417
2015,8,2595856.0,4206728,965.92,170417
2015,9,2651892.0,4421554,905.74,170417
2015,10,2309614.0,4634049,797.16,170417
2015,11,1836091.0,3977338,553.17,170417
2015,12,2630798.0,4840659,499.76,170417
2016,1,2575637.0,4377453,453.88,177000
2016,2,2021718.0,4013157,462.65,177000
2016,3,2141600.0,4854756,517.23,177000
2016,4,1758847.0,4203687,646.85,177000
2016,5,1824707.0,4435701,823.67,177000
2016,6,2365655.0,4662291,1047.26,177000
2016,7,2602709.0,4411464,1164.42,177000
2016,8,2845223.0,4489233,1157.63,177000
2016,9,2403871.0,4443764,1029.7,177000
2016,10,2002352.0,4367609,778.81,177000
2016,11,1776143.0,4093276,522.76,177000
2016,12,2305404.0,4476912,466.47,177000
2017,1,2517763.0,4250257,446.13,177000
2017,2,2037412.0,3833665,407.69,177000
2017,3,2155149.0,4673531,474.24,177000
2017,4,1627600.0,3997377,567.54,177000
2017,5,1685022.0,4087932,1005.48,177000
2017,6,2049919.0,4160488,1101.34,177000
2017,7,2513224.0,3756118,1226.1,177000
2017,8,2750839.0,3983452,1203.31,177000
2017,9,2460219.0,3625809,1061.73,177000
2017,10,1729450.0,3958904,995.57,177000
2017,11,1553619.0,3767440,565.6,177000
2017,12,1904705.0,3883266,497.28,177000
2018,1,2002446.0,3813889,468.59,177000
2018,2,1617892.0,3444493,482.48,177000
2018,3,1786655.0,3896564,500.62,177000
2018,4,1407136.0,3540090,619.66,177000
2018,5,1372074.0,3709440,941.29,177000
2018,6,1558070.0,3531598,1133.87,177000
2018,7,2069914.0,3458745,1232.92,177000
2018,8,2310781.0,3367111,1214.26,177000
2018,9,1661906.0,3041581,1065.32,177000
2018,10,1450205.0,3282777,881.85,177000
2018,11,1258352.0,3047397,709.46,177000
2018,12,1368835.0,2774171,525.87,177000
