year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,1304777.0,1378957,944.46,246319
2007,2,1482149.0,1453907,833.02,246319
2007,3,1368113.0,1441633,951.93,246319
2007,4,1321163.0,1446571,926.79,246319
2007,5,1471813.0,1457136,1009.46,246319
2007,6,1709203.0,1439464,925.03,246319
2007,7,2005177.0,1367356,940.07,246319
2007,8,2382297.0,1544281,933.8,246319
2007,9,2102360.0,1377525,884.53,246319
2007,10,1913594.0,1443420,932.34,246319
2007,11,1543393.0,1514795,902.79,246319
2007,12,1307845.0,1449195,860.88,246319
2008,1,1456377.0,1442333,881.74,245989
2008,2,1301126.0,1466010,813.29,245989
2008,3,1247505.0,1406139,880.35,245989
2008,4,1354417.0,1477927,883.64,245989
2008,5,1452025.0,1446369,965.3,245989
2008,6,1948538.0,1481381,885.95,245989
2008,7,1830180.0,1354056,879.57,245989
2008,8,2027718.0,1456247,862.99,245989
2008,9,2235722.0,1523982,872.67,245989
2008,10,1641316.0,1382150,882.58,245989
2008,11,1399229.0,1502965,851.78,245989
2008,12,1434254.0,1448933,836.76,245989
2009,1,1376272.0,1427104,848.27,245450
2009,2,1618774.0,1469790,783.39,245450
2009,3,1291802.0,1431072,894.94,245450
2009,4,1224077.0,1420220,842.59,245450
2009,5,1462910.0,1430327,876.54,245450
2009,6,1821182.0,1472777,854.15,245450
2009,7,2046571.0,1437857,839.71,245450
2009,8,1895960.0,1364658,842.57,245450
2009,9,1962189.0,1423116,823.78,245450
2009,10,1831805.0,1388677,874.48,245450
2009,11,1620816.0,1598157,823.88,245450
2009,12,1246838.0,1432141,816.28,245450
2010,1,1898161.0,1436475,812.38,245216
2010,2,1581544.0,1408114,713.45,245216
2010,3,1646028.0,1460638,789.41,245216
2010,4,1202071.0,1445768,810.02,245216
2010,5,1462500.0,1436418,874.32,245216
2010,6,1933927.0,1468050,848.92,245216
2010,7,2055318.0,1422561,850.73,245216
2010,8,2135860.0,1402438,847.32,245216
2010,9,1990903.0,1451630,831.44,245216
2010,10,1589268.0,1361733,885.8,245216
2010,11,1485374.0,1609285,809.67,245216
2010,12,1543107.0,1514485,911.2,245216
2011,1,1739591.0,1375237,859.07,245877
2011,2,1414735.0,1453415,729.46,245877
2011,3,1126721.0,1375808,843.38,245877
2011,4,1258745.0,1444384,841.66,245877
2011,5,1589560.0,1453925,893.98,245877
2011,6,1833100.0,1453806,876.59,245877
2011,7,1986293.0,1448126,848.84,245877
2011,8,2186530.0,1537933,857.24,245877
2011,9,2008612.0,1450147,818.7,245877
2011,10,1582608.0,1365216,853.42,245877
2011,11,1316925.0,1597874,832.03,245877
2011,12,1194416.0,1473580,861.15,245877
2012,1,1305111.674,1387413,846.67,246782
