year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,652531,583645,2329.457,1421319
2007,2,619861,585555,2105.396,1421319
2007,3,590227,587070,2181.842,1421319
2007,4,596797,586512,1374.872,1421319
2007,5,679682,586304,1554.635,1421319
2007,6,791789,586491,1716.525,1421319
2007,7,936450,586600,2181.934,1421319
2007,8,943615,586950,2763.486,1421319
2007,9,1012234,587137,2674.019,1421319
2007,10,821126,587801,2754.626,1421319
2007,11,636973.707,588377,2636.275,1421319
2007,12,589932.111,588867,1913.728,1421319
2008,1,685564.243,588903,1497.856,1430989
2008,2,539960.205,589311,1836.417,1430989
2008,3,552562.811,589610,1892.662,1430989
2008,4,606907.818,588850,2177.267,1430989
2008,5,677877.547,587988,2547.652,1430989
2008,6,868658.605,587265,1892.791,1430989
2008,7,854259.696,586889,2392.924,1430989
2008,8,856897.518,586475,2561.792,1430989
2008,9,927643.478,586117,2748.725,1430989
2008,10,775107.415,586286,2491.498,1430989
2008,11,579263.022,586915,1656.06,1430989
2008,12,621764.625,586611,1590.285,1446450
2009,1,644447.427,587243,1535.925,1446450
2009,2,678905.462,587909,1165.004,1446450
2009,3,564345.506,588338,1105.003,1446450
2009,4,557381.101,587590,967.554,1446450
2009,5,688725.818,586826,1243.056,1446450
2009,6,810969.383,586629,2357.013,1446450
2009,7,907961.778,586205,2431.543,1446450
2009,8,893136.826,586317,2482.111,1446450
2009,9,876216.156,586396,2252.594,1446450
2009,10,816082.108,587730,2290.65,1446450
2009,11,653035.963,588701,2114.065,1446450
2009,12,575264.397,588873,2014.248,1446216
2010,1,838171.005,589355,2105.332,1479216
2010,2,710552.523,590739,1845.083,1479216
2010,3,681226.28,591918,1991.965,1479216
2010,4,548888.297,591788,1973.381,1479216
2010,5,673104.01,591298,2038.559,1479216
2010,6,911822.113,591473,2010.9,1479216
2010,7,928139.457,591455,2351.468,1479216
2010,8,985539.993,591365,2339.164,1479216
2010,9,916283.821,591682,2209.22,1479216
2010,10,741098.111,592028,2422.407,1479216
2010,11,591882.213,592785,2071.622,1479216
2010,12,658021.95,592760,1532.208,1479877
2011,1,829969.671,593639,1567.47,1516877
2011,2,620101.251,594720,1836.864,1516877
2011,3,523788.496,595309,1862.996,1516877
2011,4,582252.923,595159,2130.031,1516877
2011,5,741581.556,595490,2209.23,1516877
2011,6,869283.984,595988,2094.033,1516877
2011,7,898399.872,596020,2388.046,1516877
2011,8,939628.269,596002,2425.502,1516877
2011,9,908911.721,596635,2186.402,1516877
2011,10,722613.42,596680,2590.274,1516877
2011,11,535320.068,597396,2199.116,1516877
2011,12,546138.89,597933,2108.938,1517782
2012,1,627349.392,599240,2051.627,1528782
2012,2,554175.139,600545,2159.074,1528782
2012,3,543560.978,601947,2080.327,1528782
2012,4,651319.876,602624,1466.729,1528782
2012,5,697752.208,603542,1319.043,1528782
2012,6,830467.392,604406,1785.763,1528782
2012,7,866498.234,604562,2309.501,1528782
2012,8,884752.28,604559,2358.95,1528782
2012,9,890611.93,604788,2399.075,1528782
2012,10,757732.511,605113,2418.368,1528782
2012,11,568775.847,605592,2190.503,1528782
2012,12,522170.586,606209,2109.774,1530661
2013,1,620133.413,607551,2101.223,1543661
2013,2,540563.207,609043,1907.856,1543661
2013,3,564557.211,610556,1853.511,1543661
2013,4,596706.656,611575,1866.495,1543661
2013,5,658710.144,612429,2007.051,1543661
2013,6,806475.204,613038,2051.024,1543661
2013,7,857541.391,613729,2280.818,1543661
2013,8,891871.913,614172,2278.228,1543661
2013,9,925031.602,615270,2076.701,1543661
2013,10,798712.913,616097,2318.077,1543661
2013,11,627811.971,617259,2096.978,1543661
2013,12,581451.054,617750,,1547635
2014,1,649480.779,618941,2001.285,1572635
2014,2,634827.937,620335,1837.209,1572635
2014,3,538596.729,621876,2096.971,1572635
2014,4,538149.331,622534,2136.056,1572635
2014,5,692568.205,623290,2309.213,1572635
2014,6,858432.484,623666,2224.238,1572635
2014,7,939217.706,624192,2236.216,1572635
2014,8,905830.527,624683,2485.264,1572635
2014,9,934363.794,625240,2444.638,1572635
2014,10,761409.451,626164,2530.211,1572635
2014,11,590213.963,627057,2227.665,1572635
2014,12,612758.839,628174,2105.743,1575668
2015,1,639549.953,629631,2142.007,1606668
2015,2,596941.018,631110,1910.486,1606668
2015,3,602914.253,632573,2212.128,1606668
2015,4,674430.056,633638,2232.911,1606668
2015,5,761214.02,634809,2413.793,1606668
2015,6,894977.943,635587,2255.83,1606668
2015,7,940172.09,636163,2361.279,1606668
2015,8,864437.509,636470,2335.98,1606668
2015,9,924202.321,637323,2248.374,1606668
2015,10,809022.793,638354,2341.007,1606668
2015,11,705393.426,639303,2297.347,1606668
2015,12,631765.706,639879,4219.359,1610919
2016,1,701024.866,640947,2178.392,1641919
2016,2,637914.902,642071,2058.399,1641919
2016,3,575617.026,643340,2281.862,1641919
2016,4,620515.992,644255,2069.219,1641919
2016,5,713560.525,645173,2275.923,1641919
2016,6,906681.351,645619,2184.904,1641919
2016,7,1006319.551,646465,2306.758,1641919
2016,8,972431.204,647647,2284.654,1641919
2016,9,981360.004,648156,2390.742,1641919
2016,10,834511.543,649144,2291.97,1641919
2016,11,630342.272,650320,2387.82,1641919
2016,12,607160.385,651516,2349.998,1645255
2017,1,647132.393,657582,2070.827,1672255
2017,2,559227.522,660045,1867.086,1672255
2017,3,554812.41,660086,2018.225,1672255
2017,4,638293.878,658613,1468.006,1672255
2017,5,777184.866,660341,1086.001,1672255
2017,6,878389.676,660293,2200.412,1672255
2017,7,921109.41,660032,2608.373,1672255
2017,8,956601.479,660313,2798.934,1672255
2017,9,983297.296,659739,2457.415,1672255
2017,10,870229.378,661988,2738.998,1672255
2017,11,659556.453,661289,2527.979,1672255
2017,12,583451.112,662645,2490.908,1672255
2018,1,751593.191,664322,2435.465,1672255
2018,2,653228.527,663827,2178.08,1672255
2018,3,616129.725,665955,2528.051,1672255
2018,4,620035.492,667485,2179.551,1672255
2018,5,674657.472,667766,2222.941,1672255
2018,6,838419.617,670882,2431.444,1672255
2018,7,974095.782,671182,2771.982,1672255
2018,8,944252.308,671746,2860.788,1672255
2018,9,1025931.736,673966,2217.79,1672255
2018,10,931062.01,675503,2804.363,1672255
2018,11,752302.888,675926,2421.292,1672255
2018,12,636440.283,677639,2347.502,1672255
