year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,303464.0,358283,2341.3,734000
2007,2,245222.0,358727,2192.01,734000
2007,3,225050.0,359056,2825.43,734000
2007,4,227157.0,359427,3112.68,734000
2007,5,330246.0,359064,3754.6,734000
2007,6,441570.0,359520,4100.22,734000
2007,7,517760.0,359338,3812.69,734000
2007,8,460326.0,359188,3468.82,734000
2007,9,457776.0,360771,3432.19,734000
2007,10,266314.0,361361,3324.36,734000
2007,11,227234.0,361614,2966.49,734000
2007,12,302678.0,361945,2464.36,734000
2008,1,286409.0,362054,2475.7,734000
2008,2,254290.0,362280,2381.14,734000
2008,3,232140.0,362600,2809.98,734000
2008,4,228795.0,362271,3061.75,734000
2008,5,275136.0,362607,3477.78,734000
2008,6,440243.0,362805,3864.63,734000
2008,7,487917.0,362467,3392.5,734000
2008,8,473436.0,362999,3360.57,734000
2008,9,399592.0,362594,3202.8,734000
2008,10,278930.0,362351,3284.97,734000
2008,11,232103.0,363889,2873.97,734000
2008,12,263716.0,363861,2505.03,734000
2009,1,283747.0,363898,2443.93,734000
2009,2,225598.0,365246,2255.81,734000
2009,3,217833.0,365331,2768.47,734000
2009,4,215124.0,365033,2939.89,734000
2009,5,368210.0,364974,3564.27,734000
2009,6,365505.0,364649,3629.18,734000
2009,7,536267.0,364649,3609.75,734000
2009,8,523040.0,364526,3749.81,734000
2009,9,393836.0,364212,3322.43,734000
2009,10,270906.0,364774,3219.85,734000
2009,11,231926.0,364611,2810.23,734000
2009,12,273705.0,365157,2454.43,734000
2010,1,288563.0,365471,2353.91,734000
2010,2,228665.0,365523,1984.95,734000
2010,3,237510.0,365888,2398.26,734000
2010,4,210230.0,365925,2763.27,734000
2010,5,268743.0,365813,3301.02,734000
2010,6,430835.0,365323,3801.8,734000
2010,7,532527.0,365698,3750.86,734000
2010,8,496260.0,365562,3379.27,734000
2010,9,415674.0,365489,3279.22,734000
2010,10,279198.0,366234,3018.22,734000
2010,11,216325.0,366071,2703.71,734000
2010,12,265011.0,366217,2471.0,734000
2011,1,291423.244,366165,2410.4,703000
2011,2,236692.755,366310,2345.68,703000
2011,3,220862.897,366448,2761.4,703000
2011,4,235310.818,366673,2934.1,703000
2011,5,273809.903,366353,3344.83,703000
2011,6,434017.579,365865,3687.43,703000
2011,7,497276.405,366345,3417.17,703000
2011,8,519039.093,366652,3449.64,703000
2011,9,400028.335,366922,3060.89,703000
2011,10,265147.3,366813,3003.79,703000
2011,11,221869.04,367040,2445.97,703000
2011,12,292533.481,367396,2239.82,703000
2012,1,269039.462,367245,2422.4,709000
2012,2,222147.582,367247,2297.42,709000
2012,3,239151.977,367724,2599.69,709000
2012,4,238847.043,367773,2835.5,709000
2012,5,330257.596,367618,3413.48,709000
2012,6,453254.507,368081,3618.09,709000
2012,7,465461.917,367853,3225.03,709000
2012,8,488604.588,368755,3268.04,709000
2012,9,378019.321,368772,2970.68,709000
2012,10,277517.474,369093,3098.17,709000
2012,11,211460.2,369314,2768.45,709000
2012,12,246875.209,369480,2405.4,709000
2013,1,323266.623,369505,2338.93,713000
2013,2,241255.084,369739,2086.98,713000
2013,3,228459.059,370112,2603.04,713000
2013,4,218709.162,370158,2904.19,713000
2013,5,318058.084,370467,3421.3,713000
2013,6,465025.784,370593,3744.94,713000
2013,7,495322.128,370761,3388.18,713000
2013,8,470815.977,371526,3264.57,713000
2013,9,387745.115,371775,3013.09,713000
2013,10,246582.776,371870,2918.74,713000
2013,11,198581.657,372157,2469.47,713000
2013,12,272843.073,372411,2174.82,713000
2014,1,261205.651,373270,2285.07,713000
2014,2,203057.457,373301,2187.75,713000
2014,3,203388.537,373352,2654.68,713000
2014,4,214927.335,373535,2836.8,713000
2014,5,297965.201,373947,3197.62,713000
2014,6,473240.712,373770,3577.09,713000
2014,7,497836.266,374951,3316.96,713000
2014,8,442929.972,375738,3063.07,713000
2014,9,392791.67,374719,2737.7,713000
2014,10,278272.895,375074,2730.1,713000
2014,11,203983.865,375396,2448.4,713000
2014,12,257382.469,375439,2067.02,713000
2015,1,277277.489,375925,2074.89,718000
2015,2,190001.748,376075,1971.84,718000
2015,3,212456.942,376135,2436.49,718000
2015,4,215201.77,375868,2664.55,718000
2015,5,249434.393,376480,2918.94,718000
