year,month,elecuse,elecuse_population,wateruse,wateruse_population
2007,1,312201,312179,1465.98,410638
2007,2,270744,312844,1344.54,410638
2007,3,240228,314989,1458.06,410638
2007,4,200671,312637,1467.42,410638
2007,5,240711,316254,1649.12,410638
2007,6,307460,314210,1758.54,410638
2007,7,428363,318779,2227.86,410638
2007,8,511560,315641,2734.19,410638
2007,9,270614,314395,2372.4,410638
2007,10,201831,312945,2003.96,410638
2007,11,240757,314262,1600.23,410638
2007,12,301763,314641,1457.23,410638
2008,1,330018,311631,1497.36,416446
2008,2,279541,314697,1362.09,416446
2008,3,242782,314824,1453.79,416446
2008,4,202220,315716,1498.02,416446
2008,5,234002,317497,1745.82,416446
2008,6,324845,317056,1748.07,416446
2008,7,428745,320665,2117.12,416446
2008,8,393474,319153,2143.33,416446
2008,9,233420,315770,1821.57,416446
2008,10,192592,315023,1696.73,416446
2008,11,231078,316787,1403.25,416446
2008,12,320036,316936,1409.52,416446
2009,1,334546,316681,1423.9,423715
2009,2,236126,318243,1264.89,423715
2009,3,242443,317354,1449.2,423715
2009,4,217170,317744,1419.02,423715
2009,5,232229,320138,1728.71,423715
2009,6,363133,319010,2197.22,423715
2009,7,347787,324132,2299.41,423715
2009,8,367322,320807,2093.71,423715
2009,9,235085,318298,1711.69,423715
2009,10,197293,317787,1567.92,423715
2009,11,233550,318465,1378.96,423715
2009,12,331168,318968,1391.99,423715
2010,1,383148,318749,1423.47,432911
2010,2,268488,315821,1251.17,432911
2010,3,244090,319359,1306.33,432911
2010,4,179204,319393,1511.75,432911
2010,5,230948,321963,1610.01,432911
2010,6,385315,320401,2000.11,432911
2010,7,455214.35,324298,2372.79,432911
2010,8,478868.501,322241,2605.47,432911
2010,9,272207.462,319415,2041.72,432911
2010,10,192392.769,316567,1956.62,432911
2010,11,226898.68,320599,1467.88,432911
2010,12,315855.289,319841,1370.41,432911
2011,1,337861.288,317245,1392.54,434248
2011,2,287698.72,319456,1280.71,434248
2011,3,256140.253,315735,1348.47,434248
2011,4,183494.315,319892,1643.78,434248
2011,5,232087.672,322659,1964.97,434248
2011,6,384457.435,321231,2280.95,434248
2011,7,496163.401,324489,2930.66,434248
2011,8,451650.087,324142,2552.42,434248
2011,9,242837.54,320198,2219.95,434248
2011,10,200573.17,319189,2064.36,434248
2011,11,224431.885,319905,1378.08,434248
2011,12,316063.173,320547,1364.41,434248
2012,1,293339.88,320371,1377.58,436716
2012,2,228356.45,320799,1248.619,436716
2012,3,222690.12,320685,1361.48,436716
2012,4,185131.87,320764,1473.4,436716
2012,5,271750.06,323795,2102.19,436716
2012,6,390120.95,322645,2250.66,436716
2012,7,529310.24,327635,3006.81,436716
2012,8,389708.68,323565,2705.71,436716
2012,9,252255.55,321441,2052.07,436716
2012,10,203853.53,319553,1849.64,436716
2012,11,217059.05,321875,1534.55,436716
2012,12,301082.81,321987,1360.81,436716
2013,1,311596.319,321717,1362.78,438525
2013,2,238341.815,321961,1181.08,438525
2013,3,268516.722,321541,1309.64,438525
2013,4,212271.744,322771,1291.42,438525
2013,5,228268.447,324870,1493.03,438525
2013,6,321507.072,324038,1784.27,438525
2013,7,394828.573,329288,2044.84,438525
2013,8,369087.519,325690,1727.22,438525
2013,9,303010.011,322798,2009.41,438525
2013,10,206499.298,321489,1673.4,438525
2013,11,233151.861,323312,1245.01,438525
2013,12,322784.035,323505,1291.04,438525
2014,1,356811.332,322623,1354.8,440314
2014,2,282141.598,323642,1170.37,440314
2014,3,274398.975,321602,1280.88,440314
2014,4,173766.234,324425,1439.51,440314
2014,5,237047.562,326211,1948.46,440314
2014,6,320127.604,325573,1610.64,440314
2014,7,399744.145,331672,1932.65,440314
2014,8,397832.439,325452,2097.37,440314
2014,9,284467.635,324312,2011.58,440314
2014,10,179549.106,323071,1710.51,440314
2014,11,225183.053,324708,1325.57,440314
2014,12,303231.493,325263,1254.93,440314
2015,1,327576.68,324381,1330.37,441575
2015,2,263721.102,324899,1146.81,441575
2015,3,232950.238,325219,1304.72,441575
2015,4,160080.943,324839,1423.87,441575
2015,5,199675.272,327609,1404.88,441575
2015,6,348876.59,326679,1779.12,441575
2015,7,427886.638,334012,1943.55,441575
2015,8,366960.566,327308,1778.95,441575
2015,9,320823.884,325703,1763.47,441575
2015,10,192774.481,324847,1646.88,441575
2015,11,192957.466,324947,1353.82,441575
2015,12,274757.461,325647,1246.66,441575
2016,1,319804.23,325355,1288.8,443259
2016,2,227416.555,325850,1196.99,443259
2016,3,193840.168,326081,1301.39,443259
2016,4,165238.007,326239,1449.26,443259
2016,5,208831.54,328766,1426.36,443259
2016,6,397287.157,327611,1924.57,443259
2016,7,446858.526,333546,1954.32,443259
2016,8,388329.208,328745,1876.09,443259
2016,9,304907.292,327330,1585.25,443259
2016,10,212480.278,326069,1554.05,443259
2016,11,195475.605,326207,1330.32,443259
2016,12,299098.96,327214,1306.13,443259
2017,1,315141.536,326913,1290.83,444067
2017,2,190435.102,327042,1126.02,444067
2017,3,213738.932,325259,1299.97,444067
2017,4,173112.369,329924,1259.85,444067
2017,5,220986.529,330333,1449.88,444067
2017,6,327189.379,329786,1797.33,444067
2017,7,429623.324,335320,2112.53,444067
2017,8,344603.899,329796,1864.15,444067
2017,9,298536.927,329422,1877.43,444067
2017,10,223863.054,327861,1549.41,444067
2017,11,198880.959,329810,1240.17,444067
2017,12,286054.133,329457,1208.72,444067
2018,1,325726.7,329648,1266.6,444067
2018,2,214912.072,330218,1092.47,444067
2018,3,258527.183,330709,1239.99,444067
2018,4,200246.202,330847,1284.32,444067
2018,5,300463.106,333486,1677.98,444067
2018,6,431794.605,332287,1941.06,444067
2018,7,427055.081,337424,1993.94,444067
2018,8,383482.871,332454,1809.91,444067
2018,9,288602.904,330872,1454.13,444067
2018,10,203395.531,329620,1411.84,444067
