year,month,wateruse,elecuse
2007,1,3087.59975,0.936406264
2007,2,2812.023,0.651863948
2007,3,3651.0055,0.681345447
2007,4,5417.54475,0.668299065
2007,5,7685.58,1.05083686
2007,6,8331.54825,1.58134542
2007,7,9680.26025,2.193553031
2007,8,9523.7915,1.808288975
2007,9,7400.29525,1.460708488
2007,10,4993.941,0.604814452
2007,11,2954.6815,0.52982883
2007,12,2806.90525,0.836794262
2008,1,2718.515905,0.925622532
2008,2,2499.927506,0.722977427
2008,3,2972.744261,0.637476742
2008,4,5015.135,0.583258115
2008,5,6648.3575,0.831399239
2008,6,7610.670455,1.346440465
2008,7,8935.8275,2.105174768
2008,8,8944.075,1.876613787
2008,9,7493.24,1.374290538
2008,10,5057.08,0.817803336
2008,11,2964.4025,0.504759671
2008,12,2915.755,0.733010404
2009,1,2764.185,0.885881422
2009,2,2485.92,0.615210071
2009,3,2840.175,0.652559046
2009,4,4342.11,0.597703812
2009,5,7118.6775,1.05943546
2009,6,6212.8325,1.348035453
2009,7,8789.5025,1.884174271
2009,8,8397.36,1.800574595
2009,9,7285.33,1.39042659
2009,10,4684.805,0.717941156
2009,11,2636.62,0.502515952
2009,12,2643.9675,0.804654256
2010,1,2823.66,0.833394027
2010,2,2449.61,0.640971436
2010,3,2926.78,0.62311781
2010,4,3956.7625,0.567467686
2010,5,5959.645,0.708706749
2010,6,7142.7575,1.318476346
2010,7,8540.68,2.029692928
2010,8,8211.615,1.86873089
2010,9,6711.2,1.245248067
2010,10,4099.6025,0.813797135
2010,11,2601.7025,0.510418523
2010,12,2522.1825,0.757118184
2011,1,2545.3275,0.82845301
2011,2,2231.56,0.623008204
2011,3,2452.9,0.635042957
2011,4,3382.605,0.583365995
2011,5,5766.3475,0.733178021
2011,6,6408.9825,1.107779681
2011,7,8385.68,1.876959575
2011,8,8437.4575,1.78240556
2011,9,7274.1475,1.364248687
2011,10,4721.1925,0.768223493
2011,11,2569.3125,0.508898768
2011,12,2584.28,0.755962084
2012,1,2631.5925,0.820328605
2012,2,2380.92,0.610955887
2012,3,2592.2,0.633948065
2012,4,4611.0025,0.601425163
2012,5,7023.2625,1.041543178
2012,6,7475.03,1.481280639
2012,7,8689.715,1.859503493
2012,8,8729.3825,1.836892368
2012,9,7298.4875,1.320326011
2012,10,5300.80225,0.810381541
2012,11,2681.745,0.461115061
2012,12,2586.36,0.703211207
2013,1,2605.9825,0.921612086
2013,2,2345.025,0.611716194
2013,3,3235.13,0.621509971
2013,4,5058.7175,0.602203541
2013,5,6552.8525,0.905810274
2013,6,7392.76,1.61240183
2013,7,8450.425,2.075317588
2013,8,8184.5875,1.561933957
2013,9,6734.545,1.15282785
2013,10,4967.0975,0.595782768
2013,11,2623.83,0.475787014
2013,12,2639.245,0.80001369
2014,1,2661.95,0.784198371
2014,2,2374.97,0.567710927
2014,3,3336.515,0.569383452
2014,4,5343.5725,0.580009217
2014,5,6581.0125,0.889931288
2014,6,7712.54,1.519247583
2014,7,8355.401,1.895118621
2014,8,7272.4775,1.548525652
2014,9,6816.41,1.3228708
2014,10,5277.02,0.799767671
2014,11,2525.065,0.459748289
2014,12,2617.2,0.646826289
2015,1,3212.972698,0.863252763
2015,2,2842.876412,0.523323713
2015,3,4254.928366,0.580238051
2015,4,6166.275796,0.595016916
2015,5,6314.761556,0.775775792
2015,6,7519.963967,1.556338343
2015,7,8053.589289,1.728288847
2015,8,8622.682897,1.645302276
2015,9,7903.151875,1.429020741
2015,10,5678.554027,0.929792521
2015,11,2618.706325,0.441650566
2015,12,3024.232049,0.743157729
2016,1,3058.560144,0.819265053
2016,2,3017.922476,0.604789919
2016,3,3375.773955,0.563611643
2016,4,4711.756978,0.546807212
2016,5,6093.830191,0.768969007
2016,6,8263.696661,1.71850202
2016,7,9512.081822,1.74913356
2016,8,9434.794002,1.863339922
2016,9,8027.748773,1.161407981
2016,10,5204.232514,0.610239669
2016,11,2878.411899,0.605447831
2016,12,3071.395197,0.773199804
2017,1,2745.448349,0.72854174
2017,2,2346.5522,0.539726239
2017,3,2606.753276,0.616983745
2017,4,3605.232404,0.622832883
2017,5,6968.268806,0.911670701
2017,6,8303.374325,1.530950788
2017,7,9753.62782,1.984570688
2017,8,9364.958714,1.663048344
2017,9,7622.869012,1.149298786
2017,10,5401.052327,0.689471681
2017,11,2959.662235,0.568676635
2017,12,2706.601189,0.709295147
2018,1,2681.383585,0.665897335
2018,2,2611.460795,0.574026791
2018,3,2839.98674,0.571041441
2018,4,4390.200649,0.677996651
2018,5,6495.0666,0.986957309
2018,6,8471.782521,1.491392703
2018,7,9916.759495,2.18361051
2018,8,9886.365869,1.830251839
2018,9,8521.912729,1.338220912
2018,10,5878.736802,0.70748383
2018,11,3120.845401,0.587077529
2018,12,2976.794806,0.717836683
