year,month,wateruse,elecuse
2007,1,4137.142857,0.912470114
2007,2,5245.102041,0.679754037
2007,3,6050,0.625865518
2007,4,8213.673469,0.532873667
2007,5,10507.95918,0.646240362
2007,6,11811.42857,0.752646095
2007,7,11487.34694,1.011190977
2007,8,8913.469388,0.940517681
2007,9,6179.387755,0.831457663
2007,10,5394.285714,0.525592651
2007,11,4326.122449,0.581114515
2007,12,3223.877551,0.808949176
2008,1,2958.979592,0.923572309
2008,2,4774.285714,0.705466805
2008,3,6677.959184,0.607191333
2008,4,8526.122449,0.559853954
2008,5,10146.32653,0.647191003
2008,6,10911.42857,0.775468186
2008,7,10004.28571,1.029939707
2008,8,8051.22449,0.962714729
2008,9,6416.122449,0.853164533
2008,10,3927.346939,0.578744832
2008,11,4377.55102,0.545632395
2008,12,3790.204082,0.799890185
2009,1,2528.571429,0.910698871
2009,2,3345.102041,0.621528876
2009,3,5501.22449,0.666931223
2009,4,7409.795918,0.553350585
2009,5,8111.020408,0.65536735
2009,6,9736.734694,0.723103781
2009,7,9067.346939,0.984228969
2009,8,7984.897959,0.961810921
2009,9,5574.897959,0.855938111
2009,10,3950.408163,0.625980705
2009,11,3314.897959,0.553915951
2009,12,2918.163265,0.850419371
2010,1,2573.469388,0.842545327
2010,2,3350.816327,0.624461774
2010,3,3630.816327,0.629360697
2010,4,5353.673469,0.579120283
2010,5,8273.673469,0.574903309
2010,6,9584.081633,0.695734381
2010,7,8725.306122,0.95287067
2010,8,7523.265306,0.849359893
2010,9,5842.244898,0.738433938
2010,10,3806.734694,0.63364248
2010,11,3252.040816,0.592525556
2010,12,3179.387755,0.791398061
2011,1,2741.632653,0.838889648
2011,2,2751.428571,0.650738262
2011,3,4567.55102,0.676156836
2011,4,6031.428571,0.572474989
2011,5,6568.77551,0.558181004
2011,6,9035.918367,0.661754976
2011,7,9239.387755,0.977692969
2011,8,7899.795918,0.870668385
2011,9,4835.306122,0.867765945
2011,10,3584.489796,0.61417904
2011,11,3301.020408,0.56726556
2011,12,3254.285714,0.804115863
2012,1,3232.040816,0.841237108
2012,2,3684.693878,0.629440651
2012,3,3980.816327,0.62856174
2012,4,7249.387755,0.593989613
2012,5,9173.265306,0.624085284
2012,6,10272.2449,0.749014004
2012,7,10436.93878,0.923805898
2012,8,8505.918367,1.017146503
2012,9,5987.142857,0.786470006
2012,10,3816.530612,0.620359058
2012,11,3177.55102,0.538714233
2012,12,3077.55102,0.754151634
2013,1,3174.897959,0.897193689
2013,2,4411.836735,0.641782939
2013,3,5309.183673,0.587239215
2013,4,7255.918367,0.517902825
2013,5,8007.755102,0.65745147
2013,6,8785.714286,0.771346869
2013,7,8266.326531,1.085261063
2013,8,6828.367347,0.848398796
2013,9,5876.326531,0.757067546
2013,10,4074.489796,0.545649524
2013,11,3419.387755,0.538657725
2013,12,3334.081633,0.793249327
2014,1,2589.795918,0.809087447
2014,2,3153.061224,0.579265589
2014,3,3668.163265,0.55958038
2014,4,5403.877551,0.540983992
2014,5,6515.306122,0.62174088
2014,6,6758.367347,0.835688295
2014,7,6257.55102,1.010321551
2014,8,5520.204082,0.965788557
2014,9,4716.326531,0.792362136
2014,10,3201.428571,0.62566826
2014,11,2592.653061,0.522958884
2014,12,2379.183673,0.687534897
2015,1,2176.326531,0.794440908
2015,2,3334.489796,0.569571817
2015,3,3768.571429,0.54841004
2015,4,4367.959184,0.512349176
2015,5,5059.795918,0.576520378
2015,6,5519.183673,0.757981635
2015,7,5546.530612,1.084925646
2015,8,5149.795918,0.904621582
2015,9,4400.612245,0.788006783
2015,10,2987.755102,0.633744033
2015,11,2751.632653,0.56489335
2015,12,2840.612245,0.794026776
2016,1,2684.285714,0.80590421
2016,2,2668.163265,0.583907783
2016,3,2668.163265,0.558496503
2016,4,3407.959184,0.545583099
2016,5,4336.530612,0.598788073
2016,6,5394.489796,0.857573785
2016,7,5948.163265,0.988870136
2016,8,5565.714286,0.96178658
2016,9,4972.857143,0.719423259
2016,10,3668.571429,0.567247482
2016,11,2489.387755,0.530539244
2016,12,2002.857143,0.783248419
2017,1,1982.44898,0.851224521
2017,2,1677.142857,0.616919451
2017,3,2063.061224,0.604836365
2017,4,2149.795918,0.515530183
2017,5,4240.408163,0.656910837
2017,6,5560,0.859747285
2017,7,7172.040816,1.189274953
2017,8,6676.938776,1.069261106
2017,9,5186.938776,0.853740305
2017,10,4248.571429,0.506618905
2017,11,2119.387755,0.522300615
2017,12,1790.408163,0.730611816
2018,1,1597.55102,0.760503145
2018,2,1785.306122,0.560395461
2018,3,1908.367347,0.6339406
2018,4,2463.061224,0.509364791
2018,5,4119.591837,0.531630771
2018,6,5300,0.731143007
2018,7,5764.897959,1.039054314
2018,8,5018.77551,0.944161322
2018,9,4089.795918,0.650320175
2018,10,4395.714286,0.518087827
2018,11,3252.44898,0.513879655
2018,12,2134.285714,0.71518671
