year,month,wateruse,elecuse
2007,1,2530.234198,0.773503245
2007,2,2340.376906,0.669233906
2007,3,2426.266102,0.606659751
2007,4,2458.165691,0.566059284
2007,5,2596.801842,0.568179422
2007,6,3520.849265,0.760872939
2007,7,4316.822192,0.951996014
2007,8,4256.574227,0.889929331
2007,9,4105.877662,0.698430422
2007,10,3451.152442,0.624292938
2007,11,2747.195409,0.632872631
2007,12,2437.453593,0.776409581
2008,1,2552.043499,0.746845937
2008,2,2266.856275,0.682500796
2008,3,2355.355572,0.658893146
2008,4,2332.3046,0.571405512
2008,5,2314.899822,0.547047278
2008,6,2846.636877,0.613813725
2008,7,3774.248688,0.898582589
2008,8,3999.140788,0.772942894
2008,9,4247.569706,0.588811141
2008,10,3812.548489,0.573743166
2008,11,2546.993899,0.646694268
2008,12,2452.217879,0.765030342
2009,1,2417.891889,0.774750929
2009,2,2238.40495,0.640081807
2009,3,2282.085888,0.64112577
2009,4,2320.802355,0.537767188
2009,5,2487.745408,0.540141367
2009,6,3382.267685,0.630664087
2009,7,3949.373522,0.684292191
2009,8,3726.237708,0.736251984
2009,9,3702.555379,0.64186796
2009,10,3300.661175,0.615221954
2009,11,2504.405869,0.609294684
2009,12,2375.814117,0.756727492
2010,1,2648.462945,0.782089838
2010,2,2174.734836,0.632158296
2010,3,2106.673092,0.60849527
2010,4,2272.73618,0.50363622
2010,5,2418.355522,0.572459744
2010,6,3064.315152,0.714802991
2010,7,3195.610542,0.943822261
2010,8,3034.033261,0.967842759
2010,9,3376.246193,0.569187219
2010,10,3011.261942,0.566344296
2010,11,2517.201783,0.610843359
2010,12,2411.954692,0.753060164
2011,1,2316.942235,0.766446742
2011,2,2170.27047,0.648707733
2011,3,2399.016373,0.631877126
2011,4,2196.94165,0.52918775
2011,5,2326.942135,0.551539565
2011,6,2636.44404,0.709190328
2011,7,3199.618067,1.050507371
2011,8,2983.352311,0.860044608
2011,9,3436.364248,0.601802787
2011,10,3403.730072,0.562339314
2011,11,2675.774705,0.602118586
2011,12,2473.916982,0.688150887
2012,1,2323.980987,0.703248799
2012,2,2102.609418,0.615716005
2012,3,2339.358436,0.58060029
2012,4,2341.639824,0.514736328
2012,5,2286.958087,0.560746078
2012,6,2832.322528,0.75996074
2012,7,3615.819135,1.069763588
2012,8,3345.198215,0.758412272
2012,9,3940.960752,0.59346479
2012,10,3640.09847,0.593117662
2012,11,2614.94294,0.651407685
2012,12,2585.793065,0.708421286
2013,1,2325.426421,0.733133482
2013,2,1907.038911,0.631803901
2013,3,2385.844516,0.635902683
2013,4,2145.001761,0.557735831
2013,5,2165.552122,0.543439901
2013,6,2449.989752,0.687945762
2013,7,2949.33691,0.90061978
2013,8,3105.154684,0.843612095
2013,9,3770.211689,0.635778
2013,10,3356.227702,0.564282963
2013,11,2515.271097,0.602957597
2013,12,2412.346677,0.746346112
2014,1,2148.68901,0.773343463
2014,2,2023.362021,0.677742394
2014,3,2234.896023,0.647253832
2014,4,2043.921564,0.527692111
2014,5,2091.013783,0.561004048
2014,6,2512.505998,0.689722424
2014,7,2662.408024,0.755762539
2014,8,2904.291496,0.807590957
2014,9,3128.799832,0.585234762
2014,10,2809.987836,0.551747224
2014,11,2232.805339,0.619326371
2014,12,2338.86348,0.6924169
2015,1,2037.51687,0.720406407
2015,2,1982.717964,0.637868221
2015,3,2078.801129,0.590644373
2015,4,2028.128072,0.490683415
2015,5,2135.874233,0.516418584
2015,6,2598.19953,0.650485522
2015,7,2633.111224,0.796594603
2015,8,2736.64737,0.739373077
2015,9,3046.582479,0.65593498
2015,10,2801.328046,0.560253135
2015,11,2219.785971,0.562369739
2015,12,2187.581329,0.658859252
2016,1,2050.88957,0.71141808
2016,2,1909.145196,0.586818575
2016,3,2065.029968,0.566021505
2016,4,1990.697194,0.476812134
2016,5,2099.038051,0.534595332
2016,6,2464.625784,0.707385899
2016,7,2918.876357,0.845955722
2016,8,2895.010412,0.842902339
2016,9,2833.058531,0.593077425
2016,10,2571.830328,0.529636868
2016,11,2078.313476,0.536106944
2016,12,2167.392908,0.691194271
2017,1,2025.579868,0.701289084
2017,2,1798.754131,0.542271515
2017,3,2051.257147,0.57441883
2017,4,1897.451331,0.471696927
2017,5,2019.014454,0.514611555
2017,6,2435.816897,0.696115683
2017,7,2889.813302,0.814893576
2017,8,2751.065573,0.650290782
2017,9,2850.13617,0.63455598
2017,10,2626.510256,0.517923586
2017,11,2002.20492,0.572029107
2017,12,2230.673266,0.686336747
2018,1,1990.214286,0.713038978
2018,2,1775.9983,0.581182661
2018,3,2055.14222,0.571933594
2018,4,1842.12336,0.503287773
2018,5,1993.933158,0.585311808
2018,6,2473.086508,0.773950573
2018,7,2837.175034,0.809254953
2018,8,2654.778091,0.843629396
2018,9,2956.965441,0.609908982
2018,10,2637.779897,0.531235522
2018,11,2031.005977,0.57682854
2018,12,2089.618782,0.644936842
