year,month,wateruse,elecuse
2007,1,3836.107174,1.155144815
2007,2,3612.893207,1.123211018
2007,3,4128.376781,0.817186949
2007,4,4157.876152,0.829377486
2007,5,4293.943583,0.951936328
2007,6,4467.806797,1.339313309
2007,7,4214.038958,1.419839118
2007,8,4976.257944,1.487977343
2007,9,4768.02173,1.547613219
2007,10,5044.88626,1.251572756
2007,11,4569.162868,0.986567063
2007,12,4278.236265,0.916363997
2008,1,4243.945017,1.135912567
2008,2,4162.658828,0.983584997
2008,3,4660.456017,0.822563537
2008,4,4869.341683,0.853878269
2008,5,5934.401121,1.104516561
2008,6,7259.427954,1.636054952
2008,7,6026.521033,1.600293133
2008,8,5416.157397,1.613716216
2008,9,5529.985259,1.487157084
2008,10,5529.448767,1.113668596
2008,11,4886.963986,0.846516073
2008,12,4498.697829,0.883686238
2009,1,4362.783909,1.144138137
2009,2,4129.604861,0.855254212
2009,3,4797.81536,0.789473684
2009,4,4550.783284,0.850028206
2009,5,5111.681498,1.090120075
2009,6,5839.876267,1.384308129
2009,7,6537.18594,1.947118067
2009,8,6589.679272,1.847542486
2009,9,4616.311584,1.511955794
2009,10,3863.476593,1.096276198
2009,11,3721.562494,0.782301131
2009,12,3546.673926,1.000899243
2010,1,3668.352132,1.367854449
2010,2,3293.808902,1.019228661
2010,3,3844.350587,0.922472262
2010,4,4155.574419,0.83258931
2010,5,4725.830887,0.929266817
2010,6,5032.759089,1.360050132
2010,7,5111.239484,1.660305988
2010,8,7125.995513,1.664747977
2010,9,5069.177318,1.686783404
2010,10,5197.97192,1.065762136
2010,11,4734.540079,0.824099664
2010,12,4640.74157,0.949600052
2011,1,3417.563166,1.11521445
2011,2,3326.76222,1.142001661
2011,3,4178.197308,0.791045033
2011,4,4587.585861,0.956817217
2011,5,4658.634388,1.120080522
2011,6,4944.245091,1.568640971
2011,7,4992.035713,1.837671924
2011,8,5461.035347,1.78747496
2011,9,4786.50749,1.887829253
2011,10,4124.824904,1.222130258
2011,11,3707.108657,0.846428207
2011,12,3378.467101,0.969787106
2012,1,3439.082519,1.076336739
2012,2,3096.790244,0.863246928
2012,3,3503.660609,0.818217725
2012,4,4128.464958,0.924096219
2012,5,4068.056207,1.079021692
2012,6,4727.670214,1.456428292
2012,7,4533.680272,1.663109956
2012,8,4971.51167,1.668644051
2012,9,4141.003105,1.67269605
2012,10,3755.470417,1.034785263
2012,11,3604.401357,0.973549531
2012,12,3506.701033,0.810355885
2013,1,3401.284679,1.130196991
2013,2,3201.904997,0.877734223
2013,3,3870.598969,0.768604272
2013,4,3607.246652,0.7688404
2013,5,3728.701912,0.899142254
2013,6,3924.120007,1.345705767
2013,7,4485.125631,1.528214672
2013,8,5002.353798,1.715773833
2013,9,4110.918228,1.6260514
2013,10,3772.958957,1.100232609
2013,11,3489.61415,0.882388072
2013,12,3459.493919,1.072030401
2014,1,3484.522222,1.291678101
2014,2,3159.461952,1.142780861
2014,3,3564.614233,0.871060514
2014,4,3882.20941,0.781908827
2014,5,4035.74142,0.957228272
2014,6,3879.12769,1.280220637
2014,7,4403.163407,1.487732574
2014,8,4822.264922,1.66636974
2014,9,4150.013025,1.589084112
2014,10,4195.622744,1.15335342
2014,11,3368.224617,0.922212254
2014,12,3250.955866,0.875861994
2015,1,3227.978285,1.301312003
2015,2,2919.272052,0.951001321
2015,3,3341.035514,0.999891415
2015,4,3417.118534,0.820751741
2015,5,3454.989633,0.901016893
2015,6,3636.58552,1.18235643
2015,7,4763.48734,1.53641674
2015,8,5032.403562,1.665652208
2015,9,4546.554399,1.554767041
2015,10,4311.412213,1.215261438
2015,11,3469.903371,0.861409959
2015,12,3401.450506,0.853810387
2016,1,3117.159229,1.10230188
2016,2,3076.475542,0.86701804
2016,3,3300.681898,0.748765437
2016,4,3261.195068,0.785571334
2016,5,3308.794793,0.940376402
2016,6,3716.665361,1.242297704
2016,7,4818.674494,1.635787345
2016,8,4162.514665,1.540366363
2016,9,3709.83395,1.556224029
2016,10,3737.821901,1.152067375
2016,11,3334.823566,0.88481134
2016,12,3154.542694,0.910345577
2017,1,3067.043381,1.014067243
2017,2,2767.811033,0.785053695
2017,3,3271.136381,0.735548565
2017,4,3374.418064,0.83868859
2017,5,3895.522842,0.926517837
2017,6,4024.691128,1.298482497
2017,7,4724.978739,1.58995541
2017,8,4169.964862,1.575058505
2017,9,3898.18807,1.448704681
2017,10,3670.718206,1.085494402
2017,11,3472.055978,0.843814325
2017,12,3242.698602,0.85399446
2018,1,3261.660394,1.239903359
2018,2,2889.422234,0.933339577
2018,3,3493.550466,0.752900063
2018,4,3603.727502,0.76148689
2018,5,4055.145755,0.926998591
2018,6,4379.047139,1.512881545
2018,7,4368.752899,1.554578163
2018,8,4617.861998,1.541495041
2018,9,3439.669342,1.519833195
2018,10,3298.262931,0.992278837
2018,11,3150.417413,0.869239846
2018,12,3145.002992,0.871370001
