year,month,wateruse,elecuse
2007,1,4222.044728,0.60835117
2007,2,3185.926518,0.533235038
2007,3,4228.65016,0.495435532
2007,4,4857.515974,0.450024276
2007,5,5472.15655,0.443143441
2007,6,5610.391374,0.459876646
2007,7,6061.541534,0.514711788
2007,8,6244.432907,0.573454438
2007,9,5844.65655,0.637680213
2007,10,5596.86901,0.461633984
2007,11,5005.615016,0.504258117
2007,12,3499.209265,0.556028672
2008,1,3443.1786,0.605989653
2008,2,3226.900865,0.539726143
2008,3,4435.224233,0.512839755
2008,4,4512.297404,0.459559361
2008,5,4748.969315,0.459447441
2008,6,5118.749017,0.488695471
2008,7,5736.955153,0.554899667
2008,8,5691.896145,0.549588733
2008,9,5125.444532,0.598566418
2008,10,5130.833989,0.551047646
2008,11,4111.620771,0.493702064
2008,12,3118.844217,0.531067863
2009,1,3651.48986,0.58956218
2009,2,3137.792512,0.511784523
2009,3,3863.783151,0.481174121
2009,4,3880.936037,0.45962996
2009,5,4278.806552,0.461890771
2009,6,4212.613105,0.453839311
2009,7,4779.24337,0.512914358
2009,8,4884.00156,0.566166164
2009,9,4804.563183,0.611196289
2009,10,4596.575663,0.518793719
2009,11,3510.897036,0.473332237
2009,12,3156.053042,0.53069169
2010,1,2811.454824,0.575242825
2010,2,2312.87902,0.5091385
2010,3,3075.413476,0.475944435
2010,4,3338.950995,0.455821257
2010,5,4324.992343,0.42036101
2010,6,4566.76876,0.447476509
2010,7,4635.122511,0.482062608
2010,8,4617.779479,0.479135822
2010,9,4158.575804,0.556848411
2010,10,3367.695253,0.518967025
2010,11,3164.119449,0.477730906
2010,12,2888.715161,0.544673185
2011,1,3123.29296,0.586710606
2011,2,2815.707797,0.508757727
2011,3,2874.231643,0.493654837
2011,4,3205.314156,0.445630958
2011,5,4068.523846,0.450061051
2011,6,4131.309614,0.453074
2011,7,4717.199092,0.507445318
2011,8,4672.036336,0.538954862
2011,9,2546.124148,0.470094907
2011,10,4143.928842,0.466469095
2011,11,2825.950038,0.534741763
2011,12,2864.051476,0.574258693
2012,1,2999.126214,0.494307422
2012,2,2799.178491,0.484056289
2012,3,2942.374907,0.456469342
2012,4,3020.201643,0.433324143
2012,5,3832.524272,0.442321283
2012,6,4554.346527,0.474864041
2012,7,4621.747573,0.542562772
2012,8,4883.539955,0.648553941
2012,9,4533.076923,0.571197238
2012,10,4083.338312,0.466902172
2012,11,3508.737864,0.517581123
2012,12,2607.363704,0.598074285
2013,1,3078.689249,0.503036525
2013,2,2571.91458,0.471651666
2013,3,3216.693667,0.432279247
2013,4,3568.579529,0.42841033
2013,5,3963.483063,0.447551881
2013,6,4150.743741,0.539274264
2013,7,4347.204713,0.477964229
2013,8,4724.675994,0.604538827
2013,9,4546.612666,0.462687135
2013,10,4082.330633,0.415866784
2013,11,3303.497791,0.49688683
2013,12,3168.821797,0.520211067
2014,1,3520.841189,0.451255792
2014,2,2746.388687,0.429704863
2014,3,3445.279188,0.401309524
2014,4,3552.828136,0.42807151
2014,5,4670.246555,0.459421827
2014,6,4544.53227,0.494800898
2014,7,4702.015954,0.552643989
2014,8,4435.083394,0.63725704
2014,9,4286.751269,0.5463348
2014,10,4036.120377,0.444113555
2014,11,3536.410442,0.468363382
2014,12,2313.952139,0.518974039
2015,1,2970.122214,0.424360296
2015,2,2694.42128,0.414466207
2015,3,3246.12509,0.395928868
2015,4,3347.462257,0.399721739
2015,5,2941.358735,0.403467495
2015,6,3271.358735,0.473422388
2015,7,3263.393242,0.516561075
2015,8,3586.12509,0.613429651
2015,9,3374.478792,0.568176384
2015,10,3273.997124,0.461305499
2015,11,2823.774263,0.458090094
2015,12,2677.627606,0.522803637
2016,1,2363.219616,0.427254149
2016,2,2527.142857,0.379990685
2016,3,2928.294243,0.368623486
2016,4,2939.118692,0.362360748
2016,5,3190.966596,0.388212711
2016,6,3441.899787,0.471060792
2016,7,3901.428571,0.547192728
2016,8,3980.021322,0.49053066
2016,9,3558.976546,0.454741697
2016,10,3559.538024,0.404794819
2016,11,3030.732054,0.437426487
2016,12,2254.022743,0.494558275
2017,1,2233.387324,0.426256493
2017,2,2220.570423,0.387981734
2017,3,2711.485915,0.352535374
2017,4,3217.253521,0.357044529
2017,5,3095.302817,0.37542947
2017,6,3367.661972,0.473968934
2017,7,3651.669014,0.514410316
2017,8,3508.683099,0.525049562
2017,9,3253.549296,0.417263321
2017,10,3392.387324,0.405702409
2017,11,3429.323944,0.40754968
2017,12,3220.866197,0.441494757
2018,1,2800.463158,0.377429675
2018,2,2706.175439,0.376143973
2018,3,2621.396491,0.335005887
2018,4,3122.414035,0.334305318
2018,5,3265.698246,0.344726652
2018,6,3459.887719,0.442830005
2018,7,3675.62807,0.595226931
2018,8,3781.045614,0.509324417
2018,9,3250.042105,0.40114918
2018,10,3116.505263,0.359712784
2018,11,2782.463158,0.392639027
