year,month,wateruse,elecuse,,,,,,
2007,1,2820.8,0.654076531,,,,,,
2007,2,2406.8,0.596573653,,,,,,
2007,3,2812.8,0.533929159,,,,,,
2007,4,3583.6,0.48179864,,,,,,
2007,5,3861.2,0.501985761,,,,,,
2007,6,3918.8,0.547720387,,,,,,
2007,7,3967.2,0.630570925,,,,,,
2007,8,4059.6,0.608823983,,,,,,
2007,9,3841.2,0.64767041,,,,,,
2007,10,3902.8,0.48966767,,,,,,
2007,11,3847.2,0.495685429,,,,,,
2007,12,3764.8,0.582558196,,,,,,
2008,1,2543.6,0.632091894,,,,,,
2008,2,2251.6,0.590624065,,,,,,
2008,3,2744.8,0.525312766,,,,,,
2008,4,3336,0.493588585,,,,,,
2008,5,3986,0.499917387,,,,,,
2008,6,4011.6,0.539858879,,,,,,
2008,7,4187.6,0.645489016,,,,,,
2008,8,4097.2,0.624097075,,,,,,
2008,9,3925.6,0.647560071,,,,,,
2008,10,3978.4,0.508041464,,,,,,
2008,11,3160.8,0.487716926,,,,,,
2008,12,2909.2,0.587074438,,,,,,
2009,1,2544.4,0.643139212,,,,,,
2009,2,2434,0.576790624,,,,,,
2009,3,2434.8,0.540473171,,,,,,
2009,4,3016,0.49845496,,,,,,
2009,5,3809.2,0.493046537,,,,,,
2009,6,3654.4,0.533311322,,,,,,
2009,7,3887.2,0.62297728,,,,,,
2009,8,3751.6,0.633181977,,,,,,
2009,9,3424.4,0.630387099,,,,,,
2009,10,3376.8,0.536854797,,,,,,
2009,11,2499.6,0.500554656,,,,,,
2009,12,2670.4,0.606157508,,,,,,
2010,1,1978,0.643696861,,,,,,
2010,2,2107.6,0.589098087,,,,,,
2010,3,2439.6,0.557376801,,,,,,
2010,4,2413.6,0.499476554,,,,,,
2010,5,2996.4,0.466867894,,,,,,
2010,6,3351.6,0.539442616,,,,,,
2010,7,3743.6,0.612044382,,,,,,
2010,8,3838,0.62708156,,,,,,
2010,9,3809.2,0.596464404,,,,,,
2010,10,3292.8,0.531573269,,,,,,
2010,11,2634.8,0.509685373,,,,,,
2010,12,2399.2,0.600570011,,,,,,
2011,1,2287.692308,0.643241906,,,,,,
2011,2,1959.615385,0.572474629,,,,,,
2011,3,2126.538462,0.55542095,,,,,,
2011,4,2423.461538,0.507502586,,,,,,
2011,5,3040.384615,0.473727044,,,,,,
2011,6,3058.846154,0.501973194,,,,,,
2011,7,3420.384615,0.614493,,,,,,
2011,8,3425.384615,0.59895875,,,,,,
2011,9,3177.692308,0.621856684,,,,,,
2011,10,2951.538462,0.53173184,,,,,,
2011,11,2322.307692,0.505761993,,,,,,
2011,12,2135.384615,0.579190239,,,,,,
2012,1,2288.461538,0.656309554,,,,,,
2012,2,2111.923077,0.556658133,,,,,,
2012,3,2373.461538,0.525010006,,,,,,
2012,4,2561.153846,0.499280099,,,,,,
2012,5,3264.615385,0.490107919,,,,,,
2012,6,3512.307692,0.533440116,,,,,,
2012,7,3762.307692,0.596120152,,,,,,
2012,8,3832.307692,0.639166015,,,,,,
2012,9,3523.846154,0.613144257,,,,,,
2012,10,2962.307692,0.530502609,,,,,,
2012,11,2169.615385,0.492794326,,,,,,
2012,12,1974.230769,0.575243799,,,,,,
2013,1,2018.846154,0.644188032,,,,,,
2013,2,2007.692308,0.576683159,,,,,,
2013,3,2766.153846,0.507732558,,,,,,
2013,4,2795.769231,0.460987697,,,,,,
2013,5,3677.307692,0.483561815,,,,,,
2013,6,3841.153846,0.534113972,,,,,,
2013,7,3788.461538,0.673756054,,,,,,
2013,8,3890.384615,0.604457658,,,,,,
2013,9,3660,0.616256588,,,,,,
2013,10,3083.461538,0.476102625,,,,,,
2013,11,2251.153846,0.472464147,,,,,,
2013,12,2238.846154,0.583019859,,,,,,
2014,1,2454.230769,0.588532551,,,,,,
2014,2,2840,0.533019716,,,,,,
2014,3,3359.230769,0.475606673,,,,,,
2014,4,2755,0.449992626,,,,,,
2014,5,3551.538462,0.460998971,,,,,,
2014,6,3655.384615,0.536821346,,,,,,
2014,7,3285.384615,0.625039685,,,,,,
2014,8,3083.076923,0.660810372,,,,,,
2014,9,2863.461538,0.61226971,,,,,,
2014,10,2638.846154,0.501988789,,,,,,
2014,11,2242.307692,0.457080986,,,,,,
2014,12,1942.307692,0.515622288,,,,,,
2015,1,2044.230769,0.567645279,,,,,,
2015,2,1986.538462,0.501877465,,,,,,
2015,3,3215.769231,0.448644044,,,,,,
2015,4,3756.538462,0.417089591,,,,,,
2015,5,3363.461538,0.416050836,,,,,,
2015,6,2473.846154,0.510068194,,,,,,
2015,7,2676.538462,0.600194851,,,,,,
2015,8,2858.846154,0.617072461,,,,,,
2015,9,3033.076923,0.599764698,,,,,,
2015,10,3377.692308,0.498400859,,,,,,
2015,11,2005.769231,0.461638161,,,,,,
2015,12,2831.153846,0.543479307,,,,,,
2016,1,2055.185185,0.588387128,,,,,,
2016,2,1721.851852,0.503772466,,,,,,
2016,3,1947.407407,0.441134426,,,,,,
2016,4,2029.259259,0.418405795,,,,,,
2016,5,2438.888889,0.41136835,,,,,,
2016,6,2992.222222,0.507401833,,,,,,
2016,7,3225.185185,0.589987587,,,,,,
2016,8,3212.592593,0.633788222,,,,,,
2016,9,3149.62963,0.540953795,,,,,,
2016,10,2577.037037,0.458454958,,,,,,
2016,11,2190.740741,0.433917234,,,,,,
2016,12,1946.296296,0.514954058,,,,,,
2017,1,1699.62963,0.592379002,,,,,,
2017,2,1542.222222,0.5314528,,,,,,
2017,3,2025.555556,0.46113934,,,,,,
2017,4,2132.222222,0.407167,,,,,,
2017,5,2932.592593,0.412194234,,,,,,
2017,6,2951.111111,0.492711192,,,,,,
2017,7,3407.777778,0.66910145,,,,,,
2017,8,3654.074074,0.690566624,,,,,,
2017,9,3442.222222,0.678529674,,,,,,
2017,10,2907.037037,0.436850704,,,,,,
2017,11,2384.444444,0.412380555,,,,,,
2017,12,2306.666667,0.490490479,,,,,,
2018,1,2483.703704,0.525040451,,,,,,
2018,2,2068.518519,0.469703959,,,,,,
2018,3,2766.296296,0.458520635,,,,,,
2018,4,2792.592593,0.39748594,,,,,,
2018,5,3762.962963,0.369887099,,,,,,
2018,6,3545.925926,0.441179885,,,,,,
2018,7,3250.37037,0.598458111,,,,,,
2018,8,3102.962963,0.686280019,,,,,,
2018,9,2806.666667,0.546395444,,,,,,
2018,10,2740.37037,0.441761655,,,,,,
2018,11,2480.740741,0.412926836,,,,,,
2018,12,2802.222222,0.493421278,,,,,,
,,,,,,,,,
