year,month,wateruse,elecuse
2007,1,3356.574964,0.645033037
2007,2,2918.828135,0.49387527
2007,3,3682.007081,0.537357986
2007,4,3337.227037,0.475094024
2007,5,3958.779164,0.512649422
2007,6,3957.23133,0.545034745
2007,7,4375.243274,0.709759641
2007,8,4328.131074,0.809952624
2007,9,3903.250616,0.732798963
2007,10,3568.047796,0.571933578
2007,11,3428.25903,0.491419004
2007,12,2899.673688,0.555380149
2008,1,2755.294724,0.654460044
2008,2,2524.162635,0.531346123
2008,3,3171.255471,0.494137634
2008,4,3255.487281,0.511124318
2008,5,3458.124951,0.501693419
2008,6,3841.163094,0.571078958
2008,7,3555.159997,0.788086622
2008,8,4027.531991,0.729907717
2008,9,3693.685226,0.753038059
2008,10,3768.290544,0.630735984
2008,11,3174.913538,0.454183912
2008,12,2725.260067,0.620886489
2009,1,2845.20371,0.610109585
2009,2,2365.418645,0.476033754
2009,3,3035.36126,0.540326588
2009,4,3256.257129,0.487220626
2009,5,3575.572896,0.485781414
2009,6,3367.755131,0.559168018
2009,7,3839.712425,0.708991545
2009,8,3813.174373,0.733173797
2009,9,3567.840586,0.76797946
2009,10,3275.062871,0.610316554
2009,11,3015.600912,0.46418058
2009,12,2645.500098,0.617028328
2010,1,2650.548916,0.562220523
2010,2,2334.237329,0.487806973
2010,3,2941.827931,0.560225016
2010,4,2995.497766,0.485197989
2010,5,3452.09189,0.436089725
2010,6,3602.187196,0.54480828
2010,7,3831.886082,0.622598497
2010,8,3875.943409,0.690096071
2010,9,3585.665698,0.67337434
2010,10,3018.527733,0.578676692
2010,11,2770.805395,0.494381613
2010,12,2635.829763,0.596906098
2011,1,2632.326984,0.602355301
2011,2,2463.73429,0.461304721
2011,3,2699.069856,0.571819179
2011,4,2922.306417,0.476400303
2011,5,3385.24212,0.470196917
2011,6,3484.612637,0.518704693
2011,7,3834.789579,0.631808109
2011,8,3880.904639,0.742460875
2011,9,3517.438626,0.722854741
2011,10,3055.692989,0.540715536
2011,11,2789.61405,0.504589194
2011,12,2802.903121,0.591857529
2012,1,2796.701979,0.583429477
2012,2,2626.31054,0.487691069
2012,3,2784.011161,0.526340555
2012,4,2704.521391,0.471171697
2012,5,3343.882801,0.504413032
2012,6,3561.495886,0.55142921
2012,7,3665.875399,0.642242987
2012,8,3862.829013,0.837173465
2012,9,3660.267828,0.756830025
2012,10,3338.373609,0.695415652
2012,11,3036.253453,0.490554076
2012,12,2467.134242,0.536046094
2013,1,2676.934469,0.639197576
2013,2,2516.706066,0.476340102
2013,3,3031.774634,0.495174275
2013,4,3159.372937,0.470800742
2013,5,3476.712838,0.505373265
2013,6,3472.719303,0.527807335
2013,7,3726.45486,NA
2013,8,3732.299057,0.690400108
2013,9,3532.719727,0.761204099
2013,10,3367.523756,NA
2013,11,2967.098853,0.432973019
2013,12,2747.941463,0.551001139
2014,1,2984.419338,0.586432443
2014,2,2552.254915,0.433747367
2014,3,2818.959318,0.449429673
2014,4,3088.879374,0.478224016
2014,5,3709.890392,0.492085282
2014,6,3588.572532,0.577019385
2014,7,3686.60126,0.725946981
2014,8,3559.534201,0.7317805
2014,9,3428.471936,0.773265968
2014,10,3290.978362,0.664866742
2014,11,2863.783587,0.413328746
2014,12,2416.028114,0.560236916
2015,1,2575.461335,0.55867177
2015,2,2471.02441,0.417180063
2015,3,2875.230382,0.484976663
2015,4,2902.703528,0.45983932
2015,5,2766.019754,0.430293756
2015,6,2823.986144,0.538587361
2015,7,2911.179286,0.710567663
2015,8,2998.85954,0.696589988
2015,9,2780.24344,0.808820399
2015,10,2852.628361,0.707641611
2015,11,2589.392753,0.476489619
2015,12,2462.938342,0.574806861
2016,1,NA,0.553166688
2016,2,NA,0.459575981
2016,3,NA,0.470964222
2016,4,NA,0.444240752
2016,5,NA,0.43032392
2016,6,NA,0.560274867
2016,7,3149.621582,0.693860649
2016,8,3142.130821,0.870650485
2016,9,2929.665614,0.680534272
2016,10,2793.761817,0.549442897
2016,11,2530.223243,0.46068678
2016,12,2359.686838,0.535323185
2017,1,2181.53293,0.552381138
2017,2,1987.857275,0.453449743
2017,3,2519.051279,0.509089902
2017,4,2772.01938,0.388336206
2017,5,2989.099948,0.482156934
2017,6,3041.761002,0.568981239
2017,7,3167.75745,0.746221231
2017,8,3185.116094,0.855910021
2017,9,3025.280042,0.748750131
2017,10,3046.441984,0.550348659
2017,11,2691.760032,0.475380783
2017,12,2761.292128,0.482969739
2018,1,2534.069431,0.536712038
2018,2,2413.046527,0.396885631
2018,3,2458.978669,0.692983499
2018,4,2854.229137,0.341538012
2018,5,2974.666918,0.569886601
2018,6,2980.128064,0.488256131
2018,7,3361.043023,0.840829729
2018,8,3380.742158,1.2168455
2018,9,3067.701447,0.331027462
2018,10,2922.493466,0.582564514
2018,11,2679.667494,0.421620533
2018,12,2305.774009,0.540938651
