year,month,wateruse,elecuse
2007,1,6542.669584,0.793344974
2007,2,6491.611962,0.808025909
2007,3,6859.956236,1.073739216
2007,4,6564.551422,1.254639321
2007,5,7755.288111,0.913564489
2007,6,8315.098468,0.820410416
2007,7,8121.808899,0.725765243
2007,8,9119.256018,0.584353811
2007,9,7713.347921,0.834840757
2007,10,6982.129832,1.139311574
2007,11,6664.84318,1.124454598
2007,12,7002.188184,0.782468659
2008,1,7274.172964,0.72467768
2008,2,6426.396879,0.780783978
2008,3,6704.147931,0.839907634
2008,4,6713.224762,1.229915839
2008,5,7185.220013,1.307018696
2008,6,7720.753087,0.819828748
2008,7,8472.314755,0.7302247
2008,8,8385.177171,0.80358856
2008,9,7332.264688,1.134878377
2008,10,7248.757836,1.350189035
2008,11,6430.027612,1.004724968
2008,12,6553.472524,0.671153849
2009,1,6658.028181,0.670705501
2009,2,5888.889291,0.918072815
2009,3,6484.293279,1.008769652
2009,4,6165.779292,1.18017274
2009,5,6793.758574,1.221834937
2009,6,7381.923607,0.779557514
2009,7,7571.946157,0.840109814
2009,8,7591.853281,0.802543063
2009,9,6891.484456,1.178146784
2009,10,6453.527723,1.245905616
2009,11,6136.823474,1.102444917
2009,12,6048.146285,0.682683007
2010,1,5485.541666,0.627509675
2010,2,5758.745448,0.766680654
2010,3,6213.434601,0.986727563
2010,4,6172.454033,1.374260647
2010,5,7358.939033,1.136813653
2010,6,7120.861451,0.710912329
2010,7,8012.676656,0.627850237
2010,8,7522.861302,0.637112077
2010,9,7134.52164,1.105971803
2010,10,6902.298424,1.316676914
2010,11,5727.522159,1.142323885
2010,12,6106.104543,0.661787815
2011,1,6401.077093,0.660846894
2011,2,5786.262394,0.853803671
2011,3,5486.637508,0.976222721
2011,4,5928.292372,1.382522767
2011,5,6650.115959,1.141573011
2011,6,8006.210407,0.802987502
2011,7,7298.006133,0.570868679
2011,8,6642.333494,0.690981897
2011,9,5048.873877,1.236210313
2011,10,4910.735132,1.421133687
2011,11,4869.877193,1.118567394
2011,12,6060.594269,0.804426598
2012,1,6716.866885,0.789868455
2012,2,6126.884934,0.952157083
2012,3,6582.956508,1.18940371
2012,4,6841.073612,1.508999494
2012,5,7170.997729,0.995005353
2012,6,7916.238089,0.782976473
2012,7,11291.16774,0.564613405
2012,8,8403.361345,0.765501594
2012,9,7347.604169,1.237803766
2012,10,6955.576688,1.283949282
2012,11,6169.580996,1.077973202
2012,12,6291.846993,0.818138493
2013,1,6231.181078,0.732721649
2013,2,5669.638967,0.890420821
2013,3,6176.963219,0.856496694
2013,4,6169.217811,1.255835454
2013,5,5828.41984,1.163501872
2013,6,6351.234909,0.90805609
2013,7,7923.552819,0.800558783
2013,8,8519.949268,0.815460593
2013,9,7935.170931,1.029712948
2013,10,7131.584807,1.242929182
2013,11,6142.108881,1.011234848
2013,12,6610.706091,0.714678857
2014,1,7233.19264,0.635690442
2014,2,7016.641563,0.750587985
2014,3,6970.237761,0.906131685
2014,4,6494.598791,1.403635371
2014,5,7697.23066,1.116889987
2014,6,7627.624957,0.849057715
2014,7,8944.332839,0.875542344
2014,8,8549.900522,0.771882096
2014,9,7482.613075,1.201765486
2014,10,7175.187887,1.382125913
2014,11,6299.316124,0.949386245
2014,12,6395.990712,0.788763132
2015,1,6691.641057,0.715362136
2015,2,6123.044967,0.758143059
2015,3,6830.889079,0.981107648
2015,4,6444.089018,1.548271116
2015,5,6560.129037,1.24878453
2015,6,6722.585062,0.878813491
2015,7,7975.81726,0.774567535
2015,8,8395.495326,0.845070646
2015,9,7908.127249,1.034947612
2015,10,7910.06125,1.430464182
2015,11,7397.551169,1.2380752
2015,12,7266.039148,0.913460892
2016,1,7494.821442,0.725424872
2016,2,7115.902546,0.923495529
2016,3,7333.538014,1.16830149
2016,4,6843.85821,1.448399752
2016,5,7391.833229,1.316638581
2016,6,9327.234358,0.758299177
2016,7,8722.907299,0.7248629
2016,8,8239.057017,0.754435746
2016,9,7731.888648,1.008282077
2016,10,7236.379323,1.376949873
2016,11,6078.247724,1.26877558
2016,12,6754.472215,0.743417396
2017,1,6440.59374,0.772032586
2017,2,5607.151172,1.151036879
2017,3,6215.603375,1.111787511
2017,4,6018.003142,1.484743055
2017,5,6769.275316,1.271427613
2017,6,7264.254118,0.879566989
2017,7,9156.129618,0.67488305
2017,8,8031.177795,0.984303043
2017,9,7720.104161,1.066233356
2017,10,6906.225972,1.270521279
2017,11,6066.914091,1.172080163
2017,12,6317.338149,0.79084865
2018,1,8180.549921,0.67146136
2018,2,6156.190325,0.924759706
2018,3,6075.057634,1.004703411
2018,4,6094.846095,1.184793242
2018,5,6951.686472,1.009016498
2018,6,8004.432615,0.755839972
2018,7,9063.115297,0.733448474
2018,8,8404.159535,0.788076772
2018,9,7470.144159,0.977822809
2018,10,6791.399935,1.184037149
2018,11,6156.190325,0.949889851
2018,12,6118.592249,0.814474975
