year,month,wateruse,elecuse
2007,1,3451.481187,0.654076531
2007,2,3237.785474,0.596573653
2007,3,4705.166604,0.533929159
2007,4,5975.582647,0.48179864
2007,5,8204.090228,0.501985761
2007,6,9304.977069,0.547720387
2007,7,9895.228847,0.630570925
2007,8,9448.766848,0.608823983
2007,9,7793.838918,0.64767041
2007,10,5934.926058,0.48966767
2007,11,4670.418383,0.495685429
2007,12,3765.677649,0.582558196
2008,1,3409.364946,0.632091894
2008,2,3251.204291,0.590624065
2008,3,4788.932871,0.525312766
2008,4,6392.772487,0.493588585
2008,5,8107.836275,0.499917387
2008,6,8921.754883,0.539858879
2008,7,9400.883441,0.645489016
2008,8,9232.253245,0.624097075
2008,9,8224.412853,0.647560071
2008,10,6546.22773,0.508041464
2008,11,4604.010187,0.487716926
2008,12,3583.465183,0.587074438
2009,1,3476.635734,0.643139212
2009,2,3011.113527,0.576790624
2009,3,3899.314147,0.540473171
2009,4,5702.514796,0.49845496
2009,5,7038.253807,0.493046537
2009,6,7813.08587,0.533311322
2009,7,8946.830206,0.62297728
2009,8,8741.309292,0.633181977
2009,9,7907.236428,0.630387099
2009,10,5760.932808,0.536854797
2009,11,4606.089813,0.500554656
2009,12,3270.585884,0.606157508
2010,1,2471.592661,0.643696861
2010,2,2457.410013,0.589098087
2010,3,3807.844742,0.557376801
2010,4,4076.81053,0.499476554
2010,5,6122.026829,0.466867894
2010,6,7927.427447,0.539442616
2010,7,8887.5871,0.612044382
2010,8,8416.700769,0.62708156
2010,9,7549.148761,0.596464404
2010,10,6043.545774,0.531573269
2010,11,3589.835582,0.509685373
2010,12,3094.900413,0.600570011
2011,1,2924.060807,0.643241906
2011,2,2966.792143,0.572474629
2011,3,3090.475943,0.55542095
2011,4,4922.256723,0.507502586
2011,5,6822.557982,0.473727044
2011,6,7157.527712,0.501973194
2011,7,8731.821835,0.614493
2011,8,8724.304821,0.59895875
2011,9,8013.88913,0.621856684
2011,10,5860.495776,0.53173184
2011,11,4286.086006,0.505761993
2011,12,3816.735187,0.579190239
2012,1,4017.186258,0.656309554
2012,2,3890.581211,0.556658133
2012,3,3984.287513,0.525010006
2012,4,4380.116857,0.499280099
2012,5,7484.20338,0.490107919
2012,6,8134.635358,0.533440116
2012,7,9187.801354,0.596120152
2012,8,8732.03479,0.639166015
2012,9,7832.86045,0.613144257
2012,10,6231.498082,0.530502609
2012,11,3577.25983,0.492794326
2012,12,2687.136997,0.575243799
2013,1,2700.621595,0.644188032
2013,2,3151.976533,0.576683159
2013,3,4833.135447,0.507732558
2013,4,5699.993016,0.460987697
2013,5,7563.090748,0.483561815
2013,6,8131.198491,0.534113972
2013,7,8830.143875,0.673756054
2013,8,7693.171765,0.604457658
2013,9,7072.449597,0.616256588
2013,10,6132.141361,0.476102625
2013,11,4332.774596,0.472464147
2013,12,3140.452577,0.583019859
2014,1,3295.42069,0.588532551
2014,2,2617.315972,0.533019716
2014,3,3418.388508,0.475606673
2014,4,4308.605411,0.449992626
2014,5,6145.878972,0.460998971
2014,6,7288.983135,0.536821346
2014,7,7584.690069,0.625039685
2014,8,7059.229012,0.660810372
2014,9,6464.310124,0.61226971
2014,10,5752.206703,0.501988789
2014,11,3510.687393,0.457080986
2014,12,2729.535059,0.515622288
2015,1,2507.965755,0.567645279
2015,2,2457.325267,0.501877465
2015,3,3625.401222,0.448644044
2015,4,4197.468562,0.417089591
2015,5,4805.682532,0.416050836
2015,6,5135.931274,0.510068194
2015,7,5723.900785,0.600194851
2015,8,5667.979134,0.617072461
2015,9,5314.84535,0.599764698
2015,10,4677.702342,0.498400859
2015,11,3245.978981,0.461638161
2015,12,2932.571281,0.543479307
2016,1,2564.293785,0.588387128
2016,2,2613.841808,0.503772466
2016,3,2922.20339,0.441134426
2016,4,3654.519774,0.418405795
2016,5,4653.502825,0.41136835
2016,6,5916.723164,0.507401833
2016,7,6578.644068,0.589987587
2016,8,6540.282486,0.633788222
2016,9,5817.514124,0.540953795
2016,10,4400.056497,0.458454958
2016,11,2953.446328,0.433917234
2016,12,2635.423729,0.514954058
2017,1,2520.508475,0.592379002
2017,2,2303.333333,0.5314528
2017,3,2679.322034,0.46113934
2017,4,3206.440678,0.407167
2017,5,5680.677966,0.412194234
2017,6,6222.259887,0.492711192
2017,7,6927.118644,0.66910145
2017,8,6798.361582,0.690566624
2017,9,5998.474576,0.678529674
2017,10,5624.689266,0.436850704
2017,11,3195.480226,0.412380555
2017,12,2809.491525,0.490490479
2018,1,2647.40113,0.525040451
2018,2,2725.875706,0.469703959
2018,3,2828.361582,0.458520635
2018,4,3500.903955,0.39748594
2018,5,5318.022599,0.369887099
2018,6,6406.045198,0.441179885
2018,7,6965.649718,0.598458111
2018,8,6860.225989,0.686280019
2018,9,6018.757062,0.546395444
2018,10,4982.20339,0.441761655
2018,11,4008.248588,0.412926836
2018,12,2971.016949,0.493421278
