year,month,wateruse,elecuse
2007,1,3834.296177,0.946205719
2007,2,3381.874723,1.019424901
2007,3,3864.622705,0.949002277
2007,4,3762.559932,0.913306709
2007,5,4098.181626,1.010072498
2007,6,3755.414726,1.1873885
2007,7,3816.47376,1.466463013
2007,8,3791.018963,1.542657716
2007,9,3590.993793,1.526186458
2007,10,3785.09169,1.325736099
2007,11,3665.125305,1.018879122
2007,12,3494.980087,0.902463092
2008,1,3584.469224,1.009737002
2008,2,3306.204749,0.887528734
2008,3,3578.818565,0.887184695
2008,4,3592.193147,0.916430243
2008,5,3924.15921,1.003910482
2008,6,3601.583811,1.315352364
2008,7,3575.647692,1.351627998
2008,8,3508.246304,1.392427246
2008,9,3547.597657,1.467026513
2008,10,3587.884011,1.187509315
2008,11,3462.67516,0.930979098
2008,12,3401.615519,0.989869097
2009,1,3455.978814,0.964381012
2009,2,3191.647993,1.10136414
2009,3,3646.119373,0.902681347
2009,4,3432.837645,0.861892524
2009,5,3571.155021,1.022780106
2009,6,3479.934814,1.236563309
2009,7,3421.104095,1.42334808
2009,8,3432.756162,1.389329781
2009,9,3356.202893,1.378797652
2009,10,3562.762273,1.319100842
2009,11,3356.610308,1.014178207
2009,12,3325.646771,0.870611204
2010,1,3312.91596,1.321402043
2010,2,2909.475728,1.123164744
2010,3,3219.243443,1.126923988
2010,4,3303.291792,0.831441144
2010,5,3565.509592,1.018157667
2010,6,3461.927444,1.317344096
2010,7,3469.308691,1.444801313
2010,8,3455.402584,1.522962156
2010,9,3390.643351,1.371494802
2010,10,3612.32546,1.167092227
2010,11,3301.864479,0.923002451
2010,12,3715.907608,1.018898834
2011,1,3493.901422,1.264939061
2011,2,2966.767937,0.973386817
2011,3,3430.089028,0.818952208
2011,4,3423.093661,0.871475314
2011,5,3635.882982,1.093288856
2011,6,3565.156562,1.260897259
2011,7,3452.295253,1.371629955
2011,8,3486.458676,1.421732936
2011,9,3329.713637,1.385109234
2011,10,3470.922453,1.159236341
2011,11,3383.927736,0.824173245
2011,12,3502.360937,0.810553889
2012,1,3430.841796,0.940680009
2012,2,3361.792999,0.843357077
2012,3,3728.472903,0.842036559
2012,4,3560.591939,0.918839378
2012,5,3771.87153,0.980357385
2012,6,3534.698641,1.1964708
2012,7,3716.802684,1.255805886
2012,8,3682.561937,1.393293865
2012,9,3508.643256,1.296195893
2012,10,3595.68364,1.188581369
2012,11,3489.152369,0.875934523
2012,12,3475.820765,0.787045179
2013,1,3589.143452,0.905719985
2013,2,3189.040501,0.859765733
2013,3,3533.72664,0.876450786
2013,4,3490.696169,0.88961705
2013,5,3631.450046,0.9471241
2013,6,3419.434491,1.149317902
2013,7,3463.952932,1.285211261
2013,8,3492.063492,1.297874072
2013,9,3291.026739,1.342636028
2013,10,3509.999558,1.189351568
2013,11,3362.690571,0.900902055
2013,12,3431.016525,0.824455044
2014,1,3330.259069,0.935666714
2014,2,3059.789815,1.059172702
2014,3,3301.759455,0.809814932
2014,4,3288.10339,0.799380933
2014,5,3422.52657,0.961696714
2014,6,3280.345162,1.173092591
2014,7,3407.208027,1.312657333
2014,8,3498.327627,1.379495205
2014,9,3298.474083,1.373814147
2014,10,3440.615908,1.097095866
2014,11,3276.466048,0.843299448
2014,12,3354.127496,0.887413623
2015,1,3345.549697,0.920217789
2015,2,3006.35981,0.919486178
2015,3,3400.073533,0.957175373
2015,4,3409.656273,0.943506284
2015,5,3543.462616,1.045284084
2015,6,3360.099817,1.260385923
2015,7,3485.887948,1.406563135
2015,8,3445.601327,1.314129323
2015,9,3296.071468,1.325299402
2015,10,3497.152557,1.136651598
2015,11,3341.912167,1.018642667
2015,12,3462.654693,0.841939646
2016,1,3318.95706,0.946603808
2016,2,3080.959837,0.97468293
2016,3,3354.968279,0.88064721
2016,4,3320.457527,0.878596248
2016,5,3468.234335,1.004932297
2016,6,3291.602384,1.260737744
2016,7,3546.258642,1.459246593
2016,8,3389.286662,1.447724936
2016,9,3227.313124,1.354022511
2016,10,3376.205664,1.196016763
2016,11,3414.332927,0.912762328
2016,12,3415.102397,0.813090669
2017,1,3417.75085,0.941820374
2017,2,3098.516647,0.837795841
2017,3,3502.611536,0.77214287
2017,4,3514.235247,0.974031362
2017,5,3681.867391,1.186850786
2017,6,3285.293727,1.200174255
2017,7,3388.235741,1.33802099
2017,8,3410.533513,1.343907204
2017,9,3165.25802,1.331013704
2017,10,3428.880743,1.150424394
2017,11,3307.553513,0.953909663
2017,12,3263.489772,0.824654307
2018,1,3257.108127,1.057363614
2018,2,3052.287706,0.998489758
2018,3,3369.584623,0.86426397
2018,4,3283.546371,0.863727963
2018,5,3308.465176,0.907113809
2018,6,3276.177091,1.153183198
2018,7,3348.312473,1.324099225
2018,8,3335.169323,1.292515846
2018,9,3286.39532,1.313810142
2018,10,3247.345729,1.318433847
2018,11,3081.954759,0.978837642
2018,12,3119.560882,0.877496353
