year,month,wateruse,elecuse
2007,1,4399.02657,1.261521323
2007,2,4023.244765,1.022061707
2007,3,4609.98106,0.831498377
2007,4,4826.935142,0.704877679
2007,5,4969.021795,0.947480729
2007,6,4894.766223,1.217561226
2007,7,5559.378242,1.616343907
2007,8,7466.143733,1.931568167
2007,9,5573.179003,1.11975135
2007,10,4988.805152,0.844424792
2007,11,4575.139238,0.711015275
2007,12,4244.396861,1.064592904
2008,1,4460.288211,1.312410122
2008,2,4175.063018,0.969857227
2008,3,4370.387107,0.939064427
2008,4,4641.450495,0.733570989
2008,5,5015.84575,0.847350493
2008,6,5028.664477,1.342465238
2008,7,6360.911109,1.808330937
2008,8,7107.593498,1.502108642
2008,9,5664.26256,1.090924766
2008,10,5955.948119,0.729718963
2008,11,4862.310033,0.72931765
2008,12,4816.322423,1.256502024
2009,1,4709.926161,1.304420141
2009,2,4296.291119,0.763029425
2009,3,4633.28047,0.864586035
2009,4,4534.306004,0.784680741
2009,5,5119.479782,0.877263674
2009,6,6739.957089,1.45212863
2009,7,7287.547779,1.791032754
2009,8,6852.230186,1.627956471
2009,9,5276.257377,0.946722543
2009,10,4811.791634,0.721541882
2009,11,4839.29021,0.775173031
2009,12,4816.944429,1.269793438
2010,1,5140.92433,1.296782923
2010,2,4237.778644,1.126549978
2010,3,4577.532803,0.975599119
2010,4,4884.668931,0.735410245
2010,5,5378.407374,0.914598719
2010,6,5688.227694,1.64023832
2010,7,6376.213302,1.84779782
2010,8,8531.976287,1.994432433
2010,9,6175.153725,1.176660091
2010,10,5917.063562,0.790010267
2010,11,4916.743328,0.693880406
2010,12,4457.287794,1.205649705
2011,1,4573.059518,1.34427964
2011,2,4701.216705,1.131937872
2011,3,4803.901867,0.882757778
2011,4,5014.071513,0.660109378
2011,5,5341.816094,0.988888695
2011,6,7019.798479,1.707571391
2011,7,9663.648859,2.285352272
2011,8,8492.037448,2.09187827
2011,9,6627.576774,0.896221537
2011,10,5815.728043,0.781582026
2011,11,4554.676245,0.771320408
2011,12,4452.618556,1.160749892
2012,1,4664.007597,1.141307475
2012,2,4079.468186,0.930604231
2012,3,4599.767859,0.839151878
2012,4,5077.522423,0.71888929
2012,5,6566.314234,1.126760992
2012,6,7003.195104,1.506315741
2012,7,9168.200907,2.085265646
2012,8,8450.08336,1.810443067
2012,9,6489.868102,1.166731918
2012,10,5656.99694,0.782390482
2012,11,4915.327635,0.679948192
2012,12,4480.557138,1.108149674
2013,1,4392.736467,1.186822083
2013,2,3833.631423,0.909129721
2013,3,4321.980824,1.015047497
2013,4,4100.616499,0.767020518
2013,5,4643.265964,0.890616382
2013,6,5669.047207,1.305583211
2013,7,6704.678385,1.65941221
2013,8,6173.718401,1.589562094
2013,9,6423.913434,1.289583581
2013,10,5162.55319,0.834172364
2013,11,4174.148185,0.79646969
2013,12,4349.657635,1.357126079
2014,1,4571.481883,1.406059028
2014,2,4030.850839,1.087011436
2014,3,4286.347363,1.02315585
2014,4,4494.196517,0.732483118
2014,5,5607.012493,0.920943878
2014,6,5369.90852,1.27925505
2014,7,6336.150526,1.478346338
2014,8,6802.46167,1.649707659
2014,9,5926.116589,1.136734589
2014,10,5328.791839,0.886278646
2014,11,4449.547933,0.846674824
2014,12,4406.79858,1.148602839
2015,1,4770.496013,1.238881397
2015,2,4025.383112,1.018704959
2015,3,4512.668851,0.986599382
2015,4,4674.029619,0.676937906
2015,5,4689.617478,0.849116947
2015,6,5572.676331,1.301149787
2015,7,6483.509316,1.749078114
2015,8,6733.261834,1.551292061
2015,9,5784.070165,1.246220252
2015,10,5556.394944,0.790835039
2015,11,4654.974121,0.661777487
2015,12,4409.762558,1.001854014
2016,1,4582.556043,1.220195124
2016,2,4055.136877,0.871096739
2016,3,4451.657916,0.819704242
2016,4,4726.814488,0.679609999
2016,5,4943.861924,0.812407565
2016,6,6322.432304,1.432127871
2016,7,6628.87841,1.787463438
2016,8,6437.726899,1.632827786
2016,9,5818.187516,1.217864372
2016,10,5618.162115,0.946507217
2016,11,5046.686889,0.702865366
2016,12,4703.425684,1.126086809
2017,1,4632.442967,1.163281631
2017,2,4196.319995,0.694792264
2017,3,4752.225088,0.926060429
2017,4,4612.465464,0.693075048
2017,5,5357.667755,0.902668617
2017,6,6308.928452,1.277921463
2017,7,6587.436389,1.688463799
2017,8,5820.863973,1.415529449
2017,9,5950.079454,1.106697836
2017,10,5172.515267,0.919045275
2017,11,4764.543166,0.716540936
2017,12,4514.832674,1.069094306
2018,1,4893.914927,1.330685479
2018,2,4065.982977,0.960024715
2018,3,4514.998665,0.84778974
2018,4,4657.593508,0.733087819
2018,5,5853.909337,1.211218828
2018,6,6191.261781,1.481883116
2018,7,6933.853131,1.655094044
2018,8,6205.704293,1.4613469
2018,9,5614.359983,1.087369259
2018,10,5027.79102,0.843865774
2018,11,4496.845692,0.821006518
2018,12,4426.546601,1.095201075
