,cities,states,latitude,longitude,population,pcelec,pcwater
1,Albuquerque,NM,35.0844,-106.6504,560218,11.77756253,5.385280135
2,Aurora,CO,39.7294,-104.8319,374114,10.92267018,1.865534714
3,Austin,TX,30.2672,-97.7431,964254,-7.235644393,-6.490116728
4,Boston,MA,42.3601,-71.0589,694583,7.89670179,4.117134557
5,Charlotte,NC,35.2271,-80.8431,872498,5.253259664,-0.294590899
6,Chicago,IL,41.8781,-87.6298,2706000,11.99182579,2.694185974
7,Chula Vista,CA,32.6401,-117.0842,271651,-7.696175027,-1.471919878
8,Cincinnati,OH,39.1031,-84.512,302605,17.55832847,6.738064566
9,Cleveland,OH,41.4993,-81.6944,383792,12.99420784,5.934727762
10,Colorado Springs,CO,38.8339,-104.8214,472688,9.156450068,8.432177047
11,Columbus,OH,39.9612,-82.9988,892533,18.33205655,3.601601548
12,Denver,CO,39.7392,-104.9903,727211,10.92267018,1.960810939
13,Durham,NC,35.994,-78.8986,274291,-2.576548044,2.885473491
14,El Paso,TX,31.7619,-106.485,682669,4.735287839,9.1246634
15,Glendale,AZ,33.5387,-112.186,250702,-10.75837318,-14.7383713
16,Greensboro,NC,36.0726,-79.792,294722,13.62507529,4.069191281
17,Indianapolis,IN,39.7684,-86.1481,876862,19.96198699,7.815438399
18,Kansas City,MO,39.0997,-94.5786,491918,19.44693702,9.664755133
19,Las Vegas,NV,36.1699,-115.1398,644644,21.38518696,9.398824878
20,Los Angeles,CA,34.0522,-118.2437,3990000,6.272172988,-0.102448213
21,Louisville,KY,38.2527,-85.7585,766757,16.60266043,2.481623264
22,Madison,WI,43.0731,-89.4012,258054,10.38981858,2.166850063
23,Miami,FL,25.7617,-80.1918,470914,-2.837181543,-1.413271369
24,Minneapolis,MN,44.9778,-93.265,425403,17.16598418,7.968899023
25,New York City,NY,40.7128,-74.006,8399000,10.40961374,0.177425892
26,Oklahoma City,OK,35.4676,-97.5164,649021,9.439996442,-1.981637896
27,Omaha,NE,41.2565,-95.9345,468262,19.95210873,16.3957957
28,Orlando,FL,28.5383,-81.3792,285713,-3.990028296,-0.219630649
29,Phoenix,AZ,33.4484,-112.074,1660000,-10.58852034,-6.612017937
30,Portland,OR,45.5051,-122.675,653115,15.60744177,9.579269138
31,Raleigh,NC,35.7796,-78.7382,469298,-7.097225523,0.669396635
32,Reno,NV,39.5296,-119.8138,250998,12.2814431,3.586928865
33,Sacramento,CA,38.5816,-121.4944,508529,14.6025264,0.694314499
34,Saint Paul,MN,44.9537,-93.09,307695,17.47044476,2.457328382
35,San Antonio,TX,29.4241,-98.4936,1547000,-5.331144192,-4.166568037
36,San Diego,CA,32.7157,-117.1611,1426000,-7.696175027,-8.989136023
37,San Francisco,CA,37.7749,-122.4194,883305,8.146770043,-1.817898368
38,Santa Ana,CA,33.7455,-117.8677,332725,17.01452071,-0.072318308
39,Seattle,WA,47.6062,-122.3321,744955,0.675343125,8.94022673
40,St. Louis,MO,38.627,-90.1994,300576,14.14457896,6.292963804
41,Stockton,CA,37.9577,-121.2908,311178,8.282270742,3.651050726
42,St. Petersburg,FL,27.7676,-82.6403,265098,0.089333583,-1.105667995
43,Tampa,FL,27.9506,-82.4572,392890,-3.839495288,-7.654439421
44,Tucson,AZ,32.2226,-110.9747,545975,7.769749956,-0.716321119
45,Tulsa,OK,36.154,-95.9928,400669,13.37068656,1.564162121
46,Wichita,KS,37.6872,-97.3301,389255,10.26913021,6.896039297
